#    L    TT             EE             TE             PP             TP          
    73    0.18381E+04    0.32371E+00   -0.61583E+01    0.63302E+07   -0.47908E+04
    74    0.18615E+04    0.33601E+00   -0.65944E+01    0.62867E+07   -0.45998E+04
    75    0.18853E+04    0.34850E+00   -0.70410E+01    0.62434E+07   -0.44129E+04
    76    0.19094E+04    0.36117E+00   -0.74972E+01    0.62002E+07   -0.42296E+04
    77    0.19337E+04    0.37402E+00   -0.79632E+01    0.61572E+07   -0.40504E+04
    78    0.19585E+04    0.38707E+00   -0.84406E+01    0.61144E+07   -0.38765E+04
    79    0.19834E+04    0.40027E+00   -0.89260E+01    0.60718E+07   -0.37087E+04
    80    0.20085E+04    0.41363E+00   -0.94212E+01    0.60294E+07   -0.35481E+04
    81    0.20338E+04    0.42709E+00   -0.99269E+01    0.59873E+07   -0.33953E+04
    82    0.20593E+04    0.44068E+00   -0.10442E+02    0.59454E+07   -0.32502E+04
    83    0.20850E+04    0.45438E+00   -0.10966E+02    0.59037E+07   -0.31123E+04
    84    0.21109E+04    0.46818E+00   -0.11498E+02    0.58623E+07   -0.29812E+04
    85    0.21370E+04    0.48205E+00   -0.12038E+02    0.58212E+07   -0.28565E+04
    86    0.21632E+04    0.49601E+00   -0.12585E+02    0.57803E+07   -0.27376E+04
    87    0.21899E+04    0.51002E+00   -0.13139E+02    0.57397E+07   -0.26240E+04
    88    0.22166E+04    0.52412E+00   -0.13699E+02    0.56994E+07   -0.25150E+04
    89    0.22436E+04    0.53828E+00   -0.14267E+02    0.56594E+07   -0.24098E+04
    90    0.22708E+04    0.55248E+00   -0.14840E+02    0.56196E+07   -0.23078E+04
    91    0.22981E+04    0.56670E+00   -0.15419E+02    0.55802E+07   -0.22085E+04
    92    0.23257E+04    0.58094E+00   -0.16003E+02    0.55410E+07   -0.21116E+04
    93    0.23535E+04    0.59519E+00   -0.16592E+02    0.55021E+07   -0.20172E+04
    94    0.23815E+04    0.60941E+00   -0.17185E+02    0.54635E+07   -0.19253E+04
    95    0.24097E+04    0.62361E+00   -0.17783E+02    0.54252E+07   -0.18359E+04
    96    0.24379E+04    0.63777E+00   -0.18386E+02    0.53872E+07   -0.17489E+04
    97    0.24665E+04    0.65188E+00   -0.18991E+02    0.53495E+07   -0.16643E+04
    98    0.24953E+04    0.66593E+00   -0.19598E+02    0.53120E+07   -0.15822E+04
    99    0.25242E+04    0.67989E+00   -0.20210E+02    0.52748E+07   -0.15025E+04
   100    0.25534E+04    0.69376E+00   -0.20822E+02    0.52380E+07   -0.14252E+04
   101    0.25828E+04    0.70760E+00   -0.21437E+02    0.52014E+07   -0.13503E+04
   102    0.26126E+04    0.72127E+00   -0.22052E+02    0.51651E+07   -0.12778E+04
   103    0.26424E+04    0.73483E+00   -0.22670E+02    0.51290E+07   -0.12077E+04
   104    0.26724E+04    0.74830E+00   -0.23287E+02    0.50933E+07   -0.11399E+04
   105    0.27025E+04    0.76159E+00   -0.23904E+02    0.50578E+07   -0.10745E+04
   106    0.27329E+04    0.77480E+00   -0.24522E+02    0.50227E+07   -0.10114E+04
   107    0.27632E+04    0.78776E+00   -0.25138E+02    0.49878E+07   -0.95069E+03
   108    0.27939E+04    0.80055E+00   -0.25754E+02    0.49532E+07   -0.89229E+03
   109    0.28247E+04    0.81310E+00   -0.26367E+02    0.49189E+07   -0.83619E+03
   110    0.28556E+04    0.82542E+00   -0.26977E+02    0.48849E+07   -0.78240E+03
   111    0.28867E+04    0.83758E+00   -0.27586E+02    0.48512E+07   -0.73089E+03
   112    0.29179E+04    0.84950E+00   -0.28192E+02    0.48177E+07   -0.68157E+03
   113    0.29494E+04    0.86119E+00   -0.28794E+02    0.47846E+07   -0.63436E+03
   114    0.29810E+04    0.87257E+00   -0.29392E+02    0.47517E+07   -0.58916E+03
   115    0.30128E+04    0.88379E+00   -0.29985E+02    0.47191E+07   -0.54588E+03
   116    0.30446E+04    0.89462E+00   -0.30573E+02    0.46868E+07   -0.50442E+03
   117    0.30767E+04    0.90515E+00   -0.31154E+02    0.46547E+07   -0.46469E+03
   118    0.31089E+04    0.91551E+00   -0.31730E+02    0.46229E+07   -0.42661E+03
   119    0.31412E+04    0.92557E+00   -0.32299E+02    0.45915E+07   -0.39006E+03
   120    0.31736E+04    0.93516E+00   -0.32860E+02    0.45602E+07   -0.35496E+03
   121    0.32061E+04    0.94460E+00   -0.33414E+02    0.45293E+07   -0.32122E+03
   122    0.32386E+04    0.95358E+00   -0.33959E+02    0.44986E+07   -0.28875E+03
   123    0.32712E+04    0.96217E+00   -0.34496E+02    0.44682E+07   -0.25744E+03
   124    0.33039E+04    0.97046E+00   -0.35022E+02    0.44381E+07   -0.22721E+03
   125    0.33366E+04    0.97836E+00   -0.35539E+02    0.44082E+07   -0.19797E+03
   126    0.33694E+04    0.98595E+00   -0.36047E+02    0.43786E+07   -0.16961E+03
   127    0.34022E+04    0.99309E+00   -0.36544E+02    0.43492E+07   -0.14205E+03
   128    0.34349E+04    0.99991E+00   -0.37030E+02    0.43201E+07   -0.11519E+03
   129    0.34678E+04    0.10063E+01   -0.37504E+02    0.42913E+07   -0.88940E+02
   130    0.35007E+04    0.10122E+01   -0.37965E+02    0.42627E+07   -0.63205E+02
   131    0.35336E+04    0.10178E+01   -0.38415E+02    0.42344E+07   -0.37910E+02
   132    0.35665E+04    0.10229E+01   -0.38852E+02    0.42063E+07   -0.13047E+02
   133    0.35994E+04    0.10277E+01   -0.39276E+02    0.41785E+07    0.11370E+02
   134    0.36323E+04    0.10320E+01   -0.39685E+02    0.41510E+07    0.35331E+02
   135    0.36652E+04    0.10359E+01   -0.40080E+02    0.41237E+07    0.58825E+02
   136    0.36980E+04    0.10394E+01   -0.40458E+02    0.40966E+07    0.81840E+02
   137    0.37308E+04    0.10424E+01   -0.40822E+02    0.40698E+07    0.10436E+03
   138    0.37635E+04    0.10449E+01   -0.41170E+02    0.40432E+07    0.12639E+03
   139    0.37961E+04    0.10472E+01   -0.41501E+02    0.40168E+07    0.14790E+03
   140    0.38287E+04    0.10488E+01   -0.41816E+02    0.39907E+07    0.16888E+03
   141    0.38612E+04    0.10500E+01   -0.42113E+02    0.39648E+07    0.18933E+03
   142    0.38936E+04    0.10508E+01   -0.42393E+02    0.39392E+07    0.20923E+03
   143    0.39261E+04    0.10512E+01   -0.42655E+02    0.39138E+07    0.22857E+03
   144    0.39583E+04    0.10511E+01   -0.42900E+02    0.38886E+07    0.24734E+03
   145    0.39904E+04    0.10507E+01   -0.43125E+02    0.38636E+07    0.26553E+03
   146    0.40227E+04    0.10497E+01   -0.43332E+02    0.38389E+07    0.28313E+03
   147    0.40546E+04    0.10483E+01   -0.43519E+02    0.38144E+07    0.30012E+03
   148    0.40864E+04    0.10465E+01   -0.43687E+02    0.37900E+07    0.31650E+03
   149    0.41181E+04    0.10442E+01   -0.43836E+02    0.37660E+07    0.33225E+03
   150    0.41496E+04    0.10416E+01   -0.43962E+02    0.37421E+07    0.34736E+03
   151    0.41810E+04    0.10385E+01   -0.44068E+02    0.37184E+07    0.36182E+03
   152    0.42122E+04    0.10350E+01   -0.44154E+02    0.36950E+07    0.37566E+03
   153    0.42432E+04    0.10311E+01   -0.44217E+02    0.36717E+07    0.38888E+03
   154    0.42741E+04    0.10268E+01   -0.44260E+02    0.36487E+07    0.40151E+03
   155    0.43048E+04    0.10222E+01   -0.44280E+02    0.36259E+07    0.41357E+03
   156    0.43352E+04    0.10172E+01   -0.44279E+02    0.36032E+07    0.42508E+03
