#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14307E+04    0.13190E+00    0.00000E+00   -0.85396E-01    0.15950E-06   -0.62961E-03   -0.84380E-06
    55    0.14501E+04    0.13996E+00    0.00000E+00   -0.29964E+00    0.15842E-06   -0.60373E-03   -0.91377E-06
    56    0.14698E+04    0.14826E+00    0.00000E+00   -0.52374E+00    0.15733E-06   -0.57902E-03   -0.92089E-06
    57    0.14898E+04    0.15669E+00    0.00000E+00   -0.75787E+00    0.15625E-06   -0.55537E-03   -0.87850E-06
    58    0.15101E+04    0.16525E+00    0.00000E+00   -0.10032E+01    0.15517E-06   -0.53266E-03   -0.80808E-06
    59    0.15306E+04    0.17399E+00    0.00000E+00   -0.12610E+01    0.15409E-06   -0.51075E-03   -0.73105E-06
    60    0.15512E+04    0.18296E+00    0.00000E+00   -0.15311E+01    0.15301E-06   -0.48953E-03   -0.66881E-06
    61    0.15723E+04    0.19226E+00    0.00000E+00   -0.18129E+01    0.15193E-06   -0.46891E-03   -0.63706E-06
    62    0.15933E+04    0.20187E+00    0.00000E+00   -0.21074E+01    0.15086E-06   -0.44896E-03   -0.62894E-06
    63    0.16143E+04    0.21176E+00    0.00000E+00   -0.24154E+01    0.14978E-06   -0.42980E-03   -0.63195E-06
    64    0.16358E+04    0.22195E+00    0.00000E+00   -0.27381E+01    0.14872E-06   -0.41154E-03   -0.63362E-06
    65    0.16573E+04    0.23240E+00    0.00000E+00   -0.30761E+01    0.14765E-06   -0.39428E-03   -0.62149E-06
    66    0.16791E+04    0.24305E+00    0.00000E+00   -0.34273E+01    0.14660E-06   -0.37810E-03   -0.58742E-06
    67    0.17010E+04    0.25390E+00    0.00000E+00   -0.37891E+01    0.14555E-06   -0.36291E-03   -0.54039E-06
    68    0.17234E+04    0.26500E+00    0.00000E+00   -0.41598E+01    0.14450E-06   -0.34858E-03   -0.49365E-06
    69    0.17459E+04    0.27629E+00    0.00000E+00   -0.45378E+01    0.14346E-06   -0.33497E-03   -0.46046E-06
    70    0.17687E+04    0.28783E+00    0.00000E+00   -0.49247E+01    0.14243E-06   -0.32195E-03   -0.45404E-06
    71    0.17917E+04    0.29959E+00    0.00000E+00   -0.53231E+01    0.14140E-06   -0.30942E-03   -0.48329E-06
    72    0.18148E+04    0.31156E+00    0.00000E+00   -0.57342E+01    0.14038E-06   -0.29729E-03   -0.53982E-06
    73    0.18381E+04    0.32371E+00    0.00000E+00   -0.61583E+01    0.13937E-06   -0.28553E-03   -0.61097E-06
    74    0.18615E+04    0.33601E+00    0.00000E+00   -0.65944E+01    0.13836E-06   -0.27407E-03   -0.68408E-06
    75    0.18853E+04    0.34850E+00    0.00000E+00   -0.70410E+01    0.13736E-06   -0.26286E-03   -0.74651E-06
    76    0.19094E+04    0.36117E+00    0.00000E+00   -0.74972E+01    0.13636E-06   -0.25187E-03   -0.78796E-06
    77    0.19337E+04    0.37402E+00    0.00000E+00   -0.79632E+01    0.13537E-06   -0.24115E-03   -0.80755E-06
    78    0.19585E+04    0.38707E+00    0.00000E+00   -0.84406E+01    0.13438E-06   -0.23074E-03   -0.80674E-06
