#    L    TT             EE             BB             TE          
   311    0.36077E+04    0.10734E+02    0.26352E-01    0.11727E+03
   312    0.35748E+04    0.10913E+02    0.26466E-01    0.11721E+03
   313    0.35418E+04    0.11094E+02    0.26579E-01    0.11710E+03
   314    0.35089E+04    0.11275E+02    0.26691E-01    0.11696E+03
   315    0.34761E+04    0.11455E+02    0.26803E-01    0.11678E+03
   316    0.34434E+04    0.11637E+02    0.26914E-01    0.11657E+03
   317    0.34107E+04    0.11817E+02    0.27025E-01    0.11632E+03
   318    0.33781E+04    0.11999E+02    0.27134E-01    0.11603E+03
   319    0.33456E+04    0.12180E+02    0.27244E-01    0.11571E+03
   320    0.33133E+04    0.12361E+02    0.27352E-01    0.11535E+03
   321    0.32811E+04    0.12543E+02    0.27460E-01    0.11496E+03
   322    0.32490E+04    0.12724E+02    0.27567E-01    0.11452E+03
   323    0.32170E+04    0.12904E+02    0.27674E-01    0.11405E+03
   324    0.31852E+04    0.13085E+02    0.27780E-01    0.11354E+03
   325    0.31536E+04    0.13264E+02    0.27885E-01    0.11301E+03
   326    0.31221E+04    0.13444E+02    0.27989E-01    0.11242E+03
   327    0.30908E+04    0.13623E+02    0.28093E-01    0.11181E+03
   328    0.30597E+04    0.13800E+02    0.28197E-01    0.11116E+03
   329    0.30288E+04    0.13978E+02    0.28300E-01    0.11048E+03
   330    0.29980E+04    0.14154E+02    0.28402E-01    0.10975E+03
   331    0.29676E+04    0.14330E+02    0.28504E-01    0.10900E+03
   332    0.29373E+04    0.14505E+02    0.28605E-01    0.10822E+03
   333    0.29072E+04    0.14680E+02    0.28705E-01    0.10740E+03
   334    0.28774E+04    0.14853E+02    0.28805E-01    0.10655E+03
   335    0.28477E+04    0.15024E+02    0.28905E-01    0.10566E+03
   336    0.28184E+04    0.15195E+02    0.29004E-01    0.10474E+03
   337    0.27893E+04    0.15365E+02    0.29102E-01    0.10377E+03
   338    0.27604E+04    0.15533E+02    0.29200E-01    0.10279E+03
   339    0.27319E+04    0.15701E+02    0.29298E-01    0.10177E+03
   340    0.27036E+04    0.15866E+02    0.29395E-01    0.10072E+03
   341    0.26756E+04    0.16030E+02    0.29491E-01    0.99634E+02
   342    0.26478E+04    0.16193E+02    0.29587E-01    0.98518E+02
   343    0.26204E+04    0.16354E+02    0.29683E-01    0.97372E+02
   344    0.25933E+04    0.16513E+02    0.29778E-01    0.96197E+02
   345    0.25665E+04    0.16670E+02    0.29873E-01    0.94992E+02
   346    0.25400E+04    0.16827E+02    0.29968E-01    0.93766E+02
   347    0.25137E+04    0.16981E+02    0.30062E-01    0.92504E+02
   348    0.24879E+04    0.17132E+02    0.30156E-01    0.91212E+02
   349    0.24623E+04    0.17282E+02    0.30250E-01    0.89890E+02
   350    0.24371E+04    0.17429E+02    0.30343E-01    0.88547E+02
   351    0.24124E+04    0.17575E+02    0.30436E-01    0.87175E+02
   352    0.23878E+04    0.17719E+02    0.30529E-01    0.85773E+02
   353    0.23637E+04    0.17860E+02    0.30621E-01    0.84357E+02
   354    0.23398E+04    0.17998E+02    0.30714E-01    0.82904E+02
   355    0.23164E+04    0.18135E+02    0.30806E-01    0.81429E+02
   356    0.22933E+04    0.18269E+02    0.30898E-01    0.79939E+02
   357    0.22706E+04    0.18401E+02    0.30990E-01    0.78420E+02
   358    0.22483E+04    0.18529E+02    0.31082E-01    0.76887E+02
   359    0.22263E+04    0.18655E+02    0.31173E-01    0.75323E+02
   360    0.22048E+04    0.18779E+02    0.31265E-01    0.73742E+02
   361    0.21836E+04    0.18900E+02    0.31356E-01    0.72138E+02
   362    0.21628E+04    0.19018E+02    0.31448E-01    0.70513E+02
   363    0.21424E+04    0.19134E+02    0.31539E-01    0.68872E+02
   364    0.21224E+04    0.19245E+02    0.31631E-01    0.67208E+02
   365    0.21028E+04    0.19355E+02    0.31722E-01    0.65530E+02
   366    0.20836E+04    0.19461E+02    0.31813E-01    0.63832E+02
   367    0.20648E+04    0.19564E+02    0.31905E-01    0.62119E+02
   368    0.20464E+04    0.19664E+02    0.31996E-01    0.60390E+02
   369    0.20285E+04    0.19761E+02    0.32088E-01    0.58645E+02
   370    0.20110E+04    0.19855E+02    0.32180E-01    0.56888E+02
   371    0.19938E+04    0.19945E+02    0.32271E-01    0.55115E+02
   372    0.19771E+04    0.20033E+02    0.32363E-01    0.53331E+02
   373    0.19608E+04    0.20116E+02    0.32455E-01    0.51532E+02
   374    0.19449E+04    0.20197E+02    0.32548E-01    0.49723E+02
   375    0.19294E+04    0.20275E+02    0.32640E-01    0.47904E+02
