#    L    TT             EE             BB             TE          
    91    0.23006E+04    0.56863E+00    0.23339E-02   -0.15416E+02
    92    0.23282E+04    0.58290E+00    0.23858E-02   -0.15999E+02
    93    0.23561E+04    0.59718E+00    0.24383E-02   -0.16587E+02
    94    0.23840E+04    0.61143E+00    0.24915E-02   -0.17180E+02
    95    0.24123E+04    0.62566E+00    0.25452E-02   -0.17777E+02
    96    0.24405E+04    0.63985E+00    0.25996E-02   -0.18378E+02
    97    0.24691E+04    0.65398E+00    0.26546E-02   -0.18983E+02
    98    0.24980E+04    0.66807E+00    0.27102E-02   -0.19589E+02
    99    0.25269E+04    0.68206E+00    0.27665E-02   -0.20199E+02
   100    0.25561E+04    0.69596E+00    0.28234E-02   -0.20810E+02
   101    0.25855E+04    0.70983E+00    0.28809E-02   -0.21423E+02
   102    0.26153E+04    0.72352E+00    0.29391E-02   -0.22038E+02
   103    0.26451E+04    0.73712E+00    0.29979E-02   -0.22654E+02
   104    0.26751E+04    0.75062E+00    0.30573E-02   -0.23270E+02
   105    0.27053E+04    0.76394E+00    0.31174E-02   -0.23886E+02
   106    0.27356E+04    0.77718E+00    0.31781E-02   -0.24502E+02
   107    0.27659E+04    0.79017E+00    0.32395E-02   -0.25116E+02
   108    0.27966E+04    0.80299E+00    0.33016E-02   -0.25730E+02
   109    0.28275E+04    0.81558E+00    0.33642E-02   -0.26342E+02
   110    0.28584E+04    0.82793E+00    0.34276E-02   -0.26951E+02
   111    0.28895E+04    0.84012E+00    0.34916E-02   -0.27557E+02
   112    0.29207E+04    0.85208E+00    0.35562E-02   -0.28162E+02
   113    0.29522E+04    0.86380E+00    0.36216E-02   -0.28762E+02
   114    0.29837E+04    0.87521E+00    0.36875E-02   -0.29358E+02
   115    0.30155E+04    0.88647E+00    0.37542E-02   -0.29948E+02
   116    0.30473E+04    0.89734E+00    0.38215E-02   -0.30534E+02
   117    0.30794E+04    0.90790E+00    0.38896E-02   -0.31113E+02
   118    0.31117E+04    0.91830E+00    0.39583E-02   -0.31687E+02
   119    0.31439E+04    0.92840E+00    0.40277E-02   -0.32254E+02
   120    0.31764E+04    0.93803E+00    0.40978E-02   -0.32812E+02
   121    0.32088E+04    0.94751E+00    0.41685E-02   -0.33364E+02
   122    0.32413E+04    0.95653E+00    0.42400E-02   -0.33907E+02
   123    0.32739E+04    0.96517E+00    0.43122E-02   -0.34441E+02
   124    0.33065E+04    0.97350E+00    0.43851E-02   -0.34965E+02
   125    0.33392E+04    0.98145E+00    0.44588E-02   -0.35479E+02
   126    0.33720E+04    0.98909E+00    0.45331E-02   -0.35984E+02
   127    0.34047E+04    0.99628E+00    0.46082E-02   -0.36478E+02
   128    0.34375E+04    0.10032E+01    0.46841E-02   -0.36961E+02
   129    0.34703E+04    0.10096E+01    0.47607E-02   -0.37432E+02
   130    0.35031E+04    0.10155E+01    0.48380E-02   -0.37891E+02
   131    0.35360E+04    0.10212E+01    0.49161E-02   -0.38338E+02
   132    0.35689E+04    0.10264E+01    0.49950E-02   -0.38771E+02
   133    0.36017E+04    0.10312E+01    0.50747E-02   -0.39193E+02
   134    0.36346E+04    0.10356E+01    0.51551E-02   -0.39598E+02
   135    0.36675E+04    0.10396E+01    0.52364E-02   -0.39990E+02
   136    0.37002E+04    0.10431E+01    0.53185E-02   -0.40365E+02
