#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.173005E-03   0.192907E+08   0.192905E+08   0.213077E+08   0.211845E+08   0.000000E+00   0.192907E+08   0.192907E+08   0.192973E+08  -0.441288E+00   0.104654E+08   0.104654E+08   0.112293E+03
   0.191092E-03   0.193069E+08   0.193067E+08   0.204473E+08   0.203014E+08   0.000000E+00   0.193069E+08   0.193069E+08   0.193132E+08  -0.443243E+00   0.104763E+08   0.104763E+08   0.122848E+03
   0.211069E-03   0.193265E+08   0.193262E+08   0.194380E+08   0.192663E+08   0.000000E+00   0.193264E+08   0.193264E+08   0.193324E+08  -0.445597E+00   0.104895E+08   0.104894E+08   0.134121E+03
   0.233136E-03   0.193500E+08   0.193496E+08   0.182645E+08   0.180640E+08   0.000000E+00   0.193499E+08   0.193499E+08   0.193556E+08  -0.448426E+00   0.105053E+08   0.105052E+08   0.146066E+03
   0.257509E-03   0.193782E+08   0.193778E+08   0.169149E+08   0.166832E+08   0.000000E+00   0.193782E+08   0.193782E+08   0.193834E+08  -0.451812E+00   0.105242E+08   0.105241E+08   0.158602E+03
   0.284430E-03   0.194120E+08   0.194115E+08   0.153841E+08   0.151195E+08   0.000000E+00   0.194119E+08   0.194119E+08   0.194167E+08  -0.455851E+00   0.105467E+08   0.105466E+08   0.171600E+03
   0.314165E-03   0.194522E+08   0.194516E+08   0.136769E+08   0.133795E+08   0.000000E+00   0.194521E+08   0.194521E+08   0.194563E+08  -0.460643E+00   0.105734E+08   0.105732E+08   0.184873E+03
   0.347010E-03   0.194999E+08   0.194991E+08   0.118135E+08   0.114853E+08   0.000000E+00   0.194997E+08   0.194997E+08   0.195034E+08  -0.466297E+00   0.106049E+08   0.106047E+08   0.198165E+03
   0.383288E-03   0.195559E+08   0.195549E+08   0.983358E+07   0.948015E+07   0.000000E+00   0.195557E+08   0.195557E+08   0.195587E+08  -0.472921E+00   0.106417E+08   0.106414E+08   0.211145E+03
   0.423358E-03   0.196213E+08   0.196202E+08   0.780123E+07   0.743186E+07   0.000000E+00   0.196211E+08   0.196211E+08   0.196235E+08  -0.480616E+00   0.106843E+08   0.106840E+08   0.223404E+03
   0.467618E-03   0.196970E+08   0.196957E+08   0.580584E+07   0.543436E+07   0.000000E+00   0.196968E+08   0.196968E+08   0.196985E+08  -0.489466E+00   0.107331E+08   0.107328E+08   0.234461E+03
   0.516505E-03   0.197836E+08   0.197820E+08   0.395834E+07   0.360281E+07   0.000000E+00   0.197833E+08   0.197833E+08   0.197845E+08  -0.499525E+00   0.107884E+08   0.107881E+08   0.243786E+03
   0.570503E-03   0.198812E+08   0.198794E+08   0.237833E+07   0.205956E+07   0.000000E+00   0.198809E+08   0.198809E+08   0.198816E+08  -0.510804E+00   0.108500E+08   0.108496E+08   0.250840E+03
   0.630146E-03   0.199895E+08   0.199874E+08   0.117060E+07   0.908942E+06   0.000000E+00   0.199892E+08   0.199892E+08   0.199895E+08  -0.523252E+00   0.109174E+08   0.109170E+08   0.255129E+03
   0.696025E-03   0.201074E+08   0.201050E+08   0.392391E+06   0.202873E+06   0.000000E+00   0.201070E+08   0.201070E+08   0.201071E+08  -0.536751E+00   0.109896E+08   0.109891E+08   0.256272E+03
   0.768790E-03   0.202327E+08   0.202300E+08   0.211706E+05  -0.921353E+05   0.000000E+00   0.202322E+08   0.202322E+08   0.202322E+08  -0.551114E+00   0.110651E+08   0.110645E+08   0.254068E+03
   0.849163E-03   0.203622E+08   0.203592E+08  -0.581157E+05  -0.105994E+06   0.000000E+00   0.203617E+08   0.203617E+08   0.203617E+08  -0.566096E+00   0.111418E+08   0.111412E+08   0.248529E+03
   0.937938E-03   0.204919E+08   0.204885E+08  -0.227386E+05  -0.295977E+05   0.000000E+00   0.204913E+08   0.204913E+08   0.204913E+08  -0.581435E+00   0.112175E+08   0.112168E+08   0.239869E+03
   0.103599E-02   0.206169E+08   0.206133E+08  -0.309725E+05  -0.260956E+05   0.000000E+00   0.206163E+08   0.206163E+08   0.206163E+08  -0.596890E+00   0.112900E+08   0.112893E+08   0.228434E+03
   0.114430E-02   0.207323E+08   0.207284E+08  -0.127137E+06  -0.130802E+06   0.000000E+00   0.207317E+08   0.207317E+08   0.207316E+08  -0.612292E+00   0.113572E+08   0.113565E+08   0.214631E+03
   0.126393E-02   0.208336E+08   0.208295E+08  -0.220966E+06  -0.234552E+06   0.000000E+00   0.208329E+08   0.208329E+08   0.208328E+08  -0.627566E+00   0.114180E+08   0.114173E+08   0.198903E+03
   0.139607E-02   0.209170E+08   0.209128E+08  -0.205971E+06  -0.216240E+06   0.000000E+00   0.209163E+08   0.209163E+08   0.209163E+08  -0.642710E+00   0.114716E+08   0.114708E+08   0.181812E+03
   0.154202E-02   0.209803E+08   0.209760E+08  -0.118504E+06  -0.439742E+06   0.000000E+00   0.209795E+08   0.209795E+08   0.209795E+08  -0.657731E+00   0.115177E+08   0.115170E+08   0.164128E+03
   0.170323E-02   0.210217E+08   0.210174E+08  -0.937367E+05  -0.285665E+06   0.000000E+00   0.210210E+08   0.210210E+08   0.210209E+08  -0.672603E+00   0.115559E+08   0.115551E+08   0.146759E+03
   0.188130E-02   0.210404E+08   0.210362E+08  -0.123863E+06  -0.173936E+06   0.000000E+00   0.210397E+08   0.210397E+08   0.210397E+08  -0.687213E+00   0.115855E+08   0.115847E+08   0.130527E+03
   0.207798E-02   0.210357E+08   0.210314E+08  -0.838533E+05  -0.942414E+05   0.000000E+00   0.210350E+08   0.210350E+08   0.210349E+08  -0.701402E+00   0.116056E+08   0.116048E+08   0.116026E+03
   0.229522E-02   0.210067E+08   0.210024E+08  -0.360035E+05  -0.386650E+05   0.000000E+00   0.210060E+08   0.210060E+08   0.210060E+08  -0.714985E+00   0.116151E+08   0.116144E+08   0.103620E+03
   0.253517E-02   0.209527E+08   0.209483E+08  -0.445620E+05  -0.111234E+04   0.000000E+00   0.209520E+08   0.209520E+08   0.209520E+08  -0.727752E+00   0.116127E+08   0.116120E+08   0.932889E+02
   0.280021E-02   0.208729E+08   0.208683E+08  -0.135129E+05   0.231114E+05   0.000000E+00   0.208721E+08   0.208721E+08   0.208721E+08  -0.739483E+00   0.115973E+08   0.115966E+08   0.845661E+02
   0.309295E-02   0.207664E+08   0.207616E+08  -0.126226E+05   0.376345E+05   0.000000E+00   0.207656E+08   0.207656E+08   0.207656E+08  -0.749963E+00   0.115674E+08   0.115667E+08   0.768179E+02
   0.341631E-02   0.206322E+08   0.206271E+08  -0.412664E+03   0.452352E+05   0.000000E+00   0.206313E+08   0.206313E+08   0.206313E+08  -0.758986E+00   0.115219E+08   0.115212E+08   0.694987E+02
   0.377346E-02   0.204694E+08   0.204641E+08  -0.130878E+04   0.480255E+05   0.000000E+00   0.204685E+08   0.204685E+08   0.204685E+08  -0.766357E+00   0.114597E+08   0.114590E+08   0.624755E+02
   0.416796E-02   0.202770E+08   0.202713E+08   0.132677E+05   0.475890E+05   0.000000E+00   0.202761E+08   0.202761E+08   0.202761E+08  -0.771898E+00   0.113796E+08   0.113789E+08   0.559908E+02
   0.460369E-02   0.200540E+08   0.200479E+08   0.165106E+05   0.450969E+05   0.000000E+00   0.200529E+08   0.200529E+08   0.200530E+08  -0.775444E+00   0.112805E+08   0.112798E+08   0.503116E+02
   0.508499E-02   0.197992E+08   0.197926E+08   0.126211E+05   0.413991E+05   0.000000E+00   0.197981E+08   0.197981E+08   0.197981E+08  -0.776850E+00   0.111617E+08   0.111610E+08   0.453630E+02
   0.561659E-02   0.195117E+08   0.195045E+08   0.142165E+05   0.370990E+05   0.000000E+00   0.195105E+08   0.195105E+08   0.195105E+08  -0.775990E+00   0.110221E+08   0.110214E+08   0.408463E+02
   0.620378E-02   0.191904E+08   0.191825E+08   0.118801E+05   0.326133E+05   0.000000E+00   0.191891E+08   0.191891E+08   0.191891E+08  -0.772760E+00   0.108611E+08   0.108605E+08   0.366711E+02
   0.685235E-02   0.188342E+08   0.188253E+08   0.120770E+05   0.282184E+05   0.000000E+00   0.188327E+08   0.188327E+08   0.188327E+08  -0.767073E+00   0.106780E+08   0.106773E+08   0.329678E+02
   0.756873E-02   0.184419E+08   0.184320E+08   0.120615E+05   0.240875E+05   0.000000E+00   0.184402E+08   0.184402E+08   0.184402E+08  -0.758865E+00   0.104719E+08   0.104713E+08   0.296874E+02
   0.835999E-02   0.180124E+08   0.180013E+08   0.120667E+05   0.203194E+05   0.000000E+00   0.180106E+08   0.180106E+08   0.180106E+08  -0.748088E+00   0.102424E+08   0.102418E+08   0.267103E+02
   0.923399E-02   0.175447E+08   0.175321E+08   0.942111E+04   0.169602E+05   0.000000E+00   0.175425E+08   0.175425E+08   0.175425E+08  -0.734714E+00   0.998890E+07   0.998823E+07   0.240646E+02
   0.101994E-01   0.170374E+08   0.170231E+08   0.945479E+04   0.140201E+05   0.000000E+00   0.170350E+08   0.170350E+08   0.170350E+08  -0.718729E+00   0.971074E+07   0.971008E+07   0.217045E+02
   0.112656E-01   0.164896E+08   0.164732E+08   0.706728E+04   0.114856E+05   0.000000E+00   0.164869E+08   0.164869E+08   0.164869E+08  -0.700131E+00   0.940749E+07   0.940682E+07   0.196003E+02
   0.124434E-01   0.159002E+08   0.158815E+08   0.623788E+04   0.932889E+04   0.000000E+00   0.158971E+08   0.158971E+08   0.158971E+08  -0.678934E+00   0.907870E+07   0.907804E+07   0.177289E+02
   0.137443E-01   0.152685E+08   0.152470E+08   0.517325E+04   0.751442E+04   0.000000E+00   0.152649E+08   0.152649E+08   0.152649E+08  -0.655167E+00   0.872408E+07   0.872342E+07   0.160628E+02
   0.151812E-01   0.145940E+08   0.145694E+08   0.474367E+04   0.600332E+04   0.000000E+00   0.145898E+08   0.145898E+08   0.145898E+08  -0.628882E+00   0.834359E+07   0.834293E+07   0.145751E+02
   0.167683E-01   0.138994E+08   0.138714E+08   0.348830E+04   0.476431E+04   0.000000E+00   0.138947E+08   0.138947E+08   0.138947E+08  -0.601128E+00   0.795036E+07   0.794970E+07   0.132564E+02
   0.185213E-01   0.131450E+08   0.131134E+08   0.273000E+04   0.374464E+04   0.000000E+00   0.131397E+08   0.131397E+08   0.131397E+08  -0.570259E+00   0.752185E+07   0.752118E+07   0.120507E+02
   0.204576E-01   0.123532E+08   0.123178E+08   0.229025E+04   0.291810E+04   0.000000E+00   0.123473E+08   0.123473E+08   0.123473E+08  -0.537308E+00   0.707100E+07   0.707033E+07   0.109459E+02
   0.225964E-01   0.115137E+08   0.114744E+08   0.183079E+04   0.225101E+04   0.000000E+00   0.115072E+08   0.115072E+08   0.115072E+08  -0.501889E+00   0.659206E+07   0.659139E+07   0.990809E+01
   0.249587E-01   0.106647E+08   0.106217E+08   0.146736E+04   0.172283E+04   0.000000E+00   0.106575E+08   0.106575E+08   0.106575E+08  -0.465721E+00   0.610699E+07   0.610632E+07   0.892540E+01
   0.275680E-01   0.981428E+07   0.976832E+07   0.105724E+04   0.130827E+04   0.000000E+00   0.980656E+07   0.980656E+07   0.980657E+07  -0.429230E+00   0.562072E+07   0.562006E+07   0.797176E+01
