#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12440E+04    0.13781E+01    0.22660E-04    0.13781E+01    0.69164E-01   -0.42281E-08    0.22660E-04   -0.42281E-08    0.69866E-10
    44    0.12623E+04    0.12798E+01    0.21657E-04    0.12798E+01    0.74646E-01   -0.32371E-08    0.21657E-04   -0.32371E-08    0.66552E-10
    45    0.12810E+04    0.11675E+01    0.20715E-04    0.11675E+01    0.80374E-01   -0.30985E-08    0.20715E-04   -0.30985E-08    0.63446E-10
    46    0.12999E+04    0.10379E+01    0.19832E-04    0.10379E+01    0.86345E-01   -0.39742E-08    0.19832E-04   -0.39742E-08    0.60530E-10
    47    0.13190E+04    0.89295E+00    0.19002E-04    0.89295E+00    0.92561E-01   -0.56173E-08    0.19002E-04   -0.56173E-08    0.57790E-10
    48    0.13382E+04    0.73817E+00    0.18219E-04    0.73817E+00    0.99035E-01   -0.76785E-08    0.18219E-04   -0.76785E-08    0.55215E-10
    49    0.13575E+04    0.57860E+00    0.17479E-04    0.57860E+00    0.10575E+00   -0.98087E-08    0.17479E-04   -0.98087E-08    0.52791E-10
    50    0.13772E+04    0.41246E+00    0.16774E-04    0.41246E+00    0.11270E+00   -0.11659E-07    0.16774E-04   -0.11659E-07    0.50508E-10
    51    0.13971E+04    0.23618E+00    0.16101E-04    0.23618E+00    0.11985E+00   -0.12951E-07    0.16101E-04   -0.12951E-07    0.48354E-10
    52    0.14174E+04    0.44572E-01    0.15460E-04    0.44572E-01    0.12729E+00   -0.13693E-07    0.15460E-04   -0.13693E-07    0.46320E-10
    53    0.14377E+04   -0.16612E+00    0.14852E-04   -0.16612E+00    0.13516E+00   -0.13967E-07    0.14852E-04   -0.13967E-07    0.44399E-10
    54    0.14579E+04   -0.39166E+00    0.14277E-04   -0.39166E+00    0.14345E+00   -0.13851E-07    0.14277E-04   -0.13851E-07    0.42582E-10
    55    0.14783E+04   -0.62772E+00    0.13737E-04   -0.62772E+00    0.15212E+00   -0.13427E-07    0.13737E-04   -0.13427E-07    0.40864E-10
    56    0.14990E+04   -0.87606E+00    0.13233E-04   -0.87606E+00    0.16104E+00   -0.12773E-07    0.13233E-04   -0.12773E-07    0.39235E-10
    57    0.15200E+04   -0.11365E+01    0.12760E-04   -0.11365E+01    0.17009E+00   -0.11958E-07    0.12760E-04   -0.11958E-07    0.37690E-10
    58    0.15413E+04   -0.14097E+01    0.12316E-04   -0.14097E+01    0.17929E+00   -0.11050E-07    0.12316E-04   -0.11050E-07    0.36225E-10
    59    0.15627E+04   -0.16963E+01    0.11895E-04   -0.16963E+01    0.18868E+00   -0.10116E-07    0.11895E-04   -0.10116E-07    0.34834E-10
    60    0.15844E+04   -0.19955E+01    0.11495E-04   -0.19955E+01    0.19832E+00   -0.92258E-08    0.11495E-04   -0.92258E-08    0.33512E-10
    61    0.16064E+04   -0.23063E+01    0.11111E-04   -0.23063E+01    0.20830E+00   -0.84347E-08    0.11111E-04   -0.84347E-08    0.32255E-10
    62    0.16284E+04   -0.26297E+01    0.10742E-04   -0.26297E+01    0.21861E+00   -0.77562E-08    0.10742E-04   -0.77562E-08    0.31059E-10
    63    0.16505E+04   -0.29669E+01    0.10387E-04   -0.29669E+01    0.22920E+00   -0.71924E-08    0.10387E-04   -0.71924E-08    0.29920E-10
    64    0.16729E+04   -0.33189E+01    0.10045E-04   -0.33189E+01    0.24009E+00   -0.67454E-08    0.10045E-04   -0.67454E-08    0.28835E-10
    65    0.16955E+04   -0.36867E+01    0.97139E-05   -0.36867E+01    0.25125E+00   -0.64174E-08    0.97139E-05   -0.64174E-08    0.27801E-10
    66    0.17183E+04   -0.40683E+01    0.93943E-05   -0.40683E+01    0.26260E+00   -0.62143E-08    0.93943E-05   -0.62143E-08    0.26815E-10
    67    0.17413E+04   -0.44609E+01    0.90863E-05   -0.44609E+01    0.27416E+00   -0.61570E-08    0.90863E-05   -0.61570E-08    0.25875E-10
    68    0.17647E+04   -0.48627E+01    0.87909E-05   -0.48627E+01    0.28596E+00   -0.62701E-08    0.87909E-05   -0.62701E-08    0.24977E-10
    69    0.17883E+04   -0.52719E+01    0.85090E-05   -0.52719E+01    0.29796E+00   -0.65783E-08    0.85090E-05   -0.65783E-08    0.24119E-10
    70    0.18122E+04   -0.56900E+01    0.82417E-05   -0.56900E+01    0.31020E+00   -0.71063E-08    0.82417E-05   -0.71063E-08    0.23300E-10
    71    0.18363E+04   -0.61194E+01    0.79896E-05   -0.61194E+01    0.32268E+00   -0.78492E-08    0.79896E-05   -0.78492E-08    0.22516E-10
    72    0.18605E+04   -0.65614E+01    0.77514E-05   -0.65614E+01    0.33536E+00   -0.86838E-08    0.77514E-05   -0.86838E-08    0.21766E-10
    73    0.18849E+04   -0.70168E+01    0.75257E-05   -0.70168E+01    0.34822E+00   -0.94573E-08    0.75257E-05   -0.94573E-08    0.21049E-10
    74    0.19094E+04   -0.74847E+01    0.73110E-05   -0.74847E+01    0.36123E+00   -0.10017E-07    0.73110E-05   -0.10017E-07    0.20362E-10
    75    0.19343E+04   -0.79638E+01    0.71056E-05   -0.79638E+01    0.37442E+00   -0.10210E-07    0.71056E-05   -0.10210E-07    0.19703E-10
    76    0.19595E+04   -0.84535E+01    0.69083E-05   -0.84535E+01    0.38778E+00   -0.99365E-08    0.69083E-05   -0.99365E-08    0.19072E-10
    77    0.19850E+04   -0.89536E+01    0.67182E-05   -0.89536E+01    0.40130E+00   -0.93057E-08    0.67182E-05   -0.93057E-08    0.18466E-10
    78    0.20108E+04   -0.94656E+01    0.65344E-05   -0.94656E+01    0.41502E+00   -0.84800E-08    0.65344E-05   -0.84800E-08    0.17885E-10
    79    0.20369E+04   -0.99856E+01    0.63565E-05   -0.99856E+01    0.42887E+00   -0.76216E-08    0.63565E-05   -0.76216E-08    0.17328E-10
    80    0.20632E+04   -0.10515E+02    0.61835E-05   -0.10515E+02    0.44286E+00   -0.68928E-08    0.61835E-05   -0.68928E-08    0.16792E-10
    81    0.20896E+04   -0.11055E+02    0.60150E-05   -0.11055E+02    0.45693E+00   -0.64238E-08    0.60150E-05   -0.64238E-08    0.16278E-10
    82    0.21164E+04   -0.11603E+02    0.58512E-05   -0.11603E+02    0.47112E+00   -0.62168E-08    0.58512E-05   -0.62168E-08    0.15783E-10
    83    0.21433E+04   -0.12160E+02    0.56924E-05   -0.12160E+02    0.48540E+00   -0.62421E-08    0.56924E-05   -0.62421E-08    0.15308E-10
    84    0.21705E+04   -0.12723E+02    0.55389E-05   -0.12723E+02    0.49976E+00   -0.64699E-08    0.55389E-05   -0.64699E-08    0.14852E-10
    85    0.21978E+04   -0.13294E+02    0.53911E-05   -0.13294E+02    0.51418E+00   -0.68706E-08    0.53911E-05   -0.68706E-08    0.14412E-10
    86    0.22253E+04   -0.13871E+02    0.52493E-05   -0.13871E+02    0.52866E+00   -0.74099E-08    0.52493E-05   -0.74099E-08    0.13990E-10
    87    0.22532E+04   -0.14454E+02    0.51131E-05   -0.14454E+02    0.54319E+00   -0.80354E-08    0.51131E-05   -0.80354E-08    0.13583E-10
    88    0.22811E+04   -0.15043E+02    0.49822E-05   -0.15043E+02    0.55777E+00   -0.86902E-08    0.49822E-05   -0.86902E-08    0.13191E-10
    89    0.23094E+04   -0.15639E+02    0.48563E-05   -0.15639E+02    0.57239E+00   -0.93175E-08    0.48563E-05   -0.93175E-08    0.12814E-10
    90    0.23378E+04   -0.16240E+02    0.47349E-05   -0.16240E+02    0.58702E+00   -0.98603E-08    0.47349E-05   -0.98603E-08    0.12449E-10
    91    0.23664E+04   -0.16847E+02    0.46176E-05   -0.16847E+02    0.60164E+00   -0.10273E-07    0.46176E-05   -0.10273E-07    0.12098E-10
    92    0.23953E+04   -0.17458E+02    0.45045E-05   -0.17458E+02    0.61625E+00   -0.10555E-07    0.45045E-05   -0.10555E-07    0.11758E-10
    93    0.24245E+04   -0.18073E+02    0.43952E-05   -0.18073E+02    0.63083E+00   -0.10716E-07    0.43952E-05   -0.10716E-07    0.11431E-10
    94    0.24537E+04   -0.18692E+02    0.42897E-05   -0.18692E+02    0.64535E+00   -0.10766E-07    0.42897E-05   -0.10766E-07    0.11114E-10
    95    0.24832E+04   -0.19315E+02    0.41878E-05   -0.19315E+02    0.65981E+00   -0.10717E-07    0.41878E-05   -0.10717E-07    0.10809E-10
    96    0.25127E+04   -0.19942E+02    0.40894E-05   -0.19942E+02    0.67419E+00   -0.10578E-07    0.40894E-05   -0.10578E-07    0.10515E-10
    97    0.25426E+04   -0.20571E+02    0.39944E-05   -0.20571E+02    0.68849E+00   -0.10360E-07    0.39944E-05   -0.10360E-07    0.10230E-10
