#    L    TT             EE             BB             TE          
    91    0.22975E+04    0.57026E+00    0.23480E-02   -0.15433E+02
    92    0.23251E+04    0.58455E+00    0.24002E-02   -0.16016E+02
    93    0.23529E+04    0.59885E+00    0.24531E-02   -0.16605E+02
    94    0.23808E+04    0.61313E+00    0.25065E-02   -0.17198E+02
    95    0.24090E+04    0.62737E+00    0.25606E-02   -0.17796E+02
    96    0.24372E+04    0.64158E+00    0.26153E-02   -0.18398E+02
    97    0.24658E+04    0.65574E+00    0.26706E-02   -0.19003E+02
    98    0.24946E+04    0.66984E+00    0.27266E-02   -0.19609E+02
    99    0.25235E+04    0.68385E+00    0.27832E-02   -0.20220E+02
   100    0.25527E+04    0.69776E+00    0.28404E-02   -0.20831E+02
   101    0.25820E+04    0.71164E+00    0.28982E-02   -0.21445E+02
   102    0.26118E+04    0.72535E+00    0.29567E-02   -0.22060E+02
   103    0.26415E+04    0.73895E+00    0.30159E-02   -0.22676E+02
   104    0.26715E+04    0.75246E+00    0.30757E-02   -0.23292E+02
   105    0.27016E+04    0.76579E+00    0.31361E-02   -0.23908E+02
   106    0.27320E+04    0.77903E+00    0.31972E-02   -0.24524E+02
   107    0.27622E+04    0.79202E+00    0.32589E-02   -0.25139E+02
   108    0.27929E+04    0.80485E+00    0.33213E-02   -0.25753E+02
   109    0.28237E+04    0.81744E+00    0.33844E-02   -0.26365E+02
   110    0.28546E+04    0.82978E+00    0.34481E-02   -0.26973E+02
   111    0.28856E+04    0.84197E+00    0.35125E-02   -0.27580E+02
   112    0.29168E+04    0.85392E+00    0.35775E-02   -0.28184E+02
   113    0.29482E+04    0.86563E+00    0.36432E-02   -0.28784E+02
   114    0.29798E+04    0.87704E+00    0.37096E-02   -0.29380E+02
   115    0.30115E+04    0.88828E+00    0.37766E-02   -0.29971E+02
   116    0.30433E+04    0.89914E+00    0.38444E-02   -0.30556E+02
   117    0.30753E+04    0.90968E+00    0.39128E-02   -0.31135E+02
