#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.172877E-03   0.192907E+08   0.192905E+08   0.213135E+08   0.211905E+08   0.000000E+00   0.192907E+08   0.192907E+08   0.192973E+08  -0.441275E+00   0.104654E+08   0.104653E+08   0.112228E+03
   0.190946E-03   0.193069E+08   0.193067E+08   0.204544E+08   0.203086E+08   0.000000E+00   0.193069E+08   0.193069E+08   0.193132E+08  -0.443227E+00   0.104763E+08   0.104762E+08   0.122777E+03
   0.210904E-03   0.193265E+08   0.193261E+08   0.194465E+08   0.192750E+08   0.000000E+00   0.193264E+08   0.193264E+08   0.193324E+08  -0.445578E+00   0.104895E+08   0.104894E+08   0.134043E+03
   0.232947E-03   0.193500E+08   0.193496E+08   0.182746E+08   0.180743E+08   0.000000E+00   0.193499E+08   0.193499E+08   0.193555E+08  -0.448402E+00   0.105052E+08   0.105051E+08   0.145981E+03
   0.257294E-03   0.193782E+08   0.193777E+08   0.169268E+08   0.166953E+08   0.000000E+00   0.193781E+08   0.193781E+08   0.193833E+08  -0.451783E+00   0.105241E+08   0.105240E+08   0.158511E+03
   0.284186E-03   0.194119E+08   0.194114E+08   0.153978E+08   0.151334E+08   0.000000E+00   0.194118E+08   0.194118E+08   0.194165E+08  -0.455815E+00   0.105466E+08   0.105465E+08   0.171504E+03
   0.313889E-03   0.194521E+08   0.194514E+08   0.136925E+08   0.133952E+08   0.000000E+00   0.194520E+08   0.194520E+08   0.194562E+08  -0.460600E+00   0.105733E+08   0.105731E+08   0.184773E+03
   0.346696E-03   0.194996E+08   0.194989E+08   0.118307E+08   0.115028E+08   0.000000E+00   0.194995E+08   0.194995E+08   0.195031E+08  -0.466246E+00   0.106047E+08   0.106045E+08   0.198064E+03
   0.382932E-03   0.195556E+08   0.195547E+08   0.985210E+07   0.949881E+07   0.000000E+00   0.195555E+08   0.195555E+08   0.195585E+08  -0.472860E+00   0.106414E+08   0.106412E+08   0.211047E+03
   0.422956E-03   0.196210E+08   0.196199E+08   0.782035E+07   0.745103E+07   0.000000E+00   0.196208E+08   0.196208E+08   0.196232E+08  -0.480544E+00   0.106840E+08   0.106837E+08   0.223312E+03
   0.467163E-03   0.196966E+08   0.196953E+08   0.582461E+07   0.545305E+07   0.000000E+00   0.196964E+08   0.196964E+08   0.196982E+08  -0.489382E+00   0.107328E+08   0.107325E+08   0.234381E+03
   0.515990E-03   0.197831E+08   0.197816E+08   0.397554E+07   0.361976E+07   0.000000E+00   0.197828E+08   0.197828E+08   0.197840E+08  -0.499429E+00   0.107881E+08   0.107877E+08   0.243725E+03
   0.569921E-03   0.198807E+08   0.198789E+08   0.239270E+07   0.207348E+07   0.000000E+00   0.198804E+08   0.198804E+08   0.198811E+08  -0.510695E+00   0.108497E+08   0.108492E+08   0.250803E+03
   0.629488E-03   0.199890E+08   0.199869E+08   0.118107E+07   0.918795E+06   0.000000E+00   0.199886E+08   0.199886E+08   0.199890E+08  -0.523131E+00   0.109171E+08   0.109166E+08   0.255121E+03
   0.695281E-03   0.201068E+08   0.201044E+08   0.398516E+06   0.208288E+06   0.000000E+00   0.201064E+08   0.201064E+08   0.201065E+08  -0.536621E+00   0.109892E+08   0.109887E+08   0.256298E+03
   0.767951E-03   0.202321E+08   0.202294E+08   0.234652E+05  -0.905094E+05   0.000000E+00   0.202317E+08   0.202317E+08   0.202317E+08  -0.550976E+00   0.110647E+08   0.110641E+08   0.254130E+03
   0.848216E-03   0.203618E+08   0.203587E+08  -0.581356E+05  -0.106483E+06   0.000000E+00   0.203613E+08   0.203613E+08   0.203612E+08  -0.565954E+00   0.111415E+08   0.111409E+08   0.248628E+03
   0.936871E-03   0.204916E+08   0.204883E+08  -0.231028E+05  -0.301220E+05   0.000000E+00   0.204911E+08   0.204911E+08   0.204910E+08  -0.581292E+00   0.112173E+08   0.112166E+08   0.240002E+03
   0.103479E-02   0.206169E+08   0.206133E+08  -0.303554E+05  -0.253524E+05   0.000000E+00   0.206163E+08   0.206163E+08   0.206163E+08  -0.596750E+00   0.112899E+08   0.112892E+08   0.228599E+03
   0.114295E-02   0.207327E+08   0.207288E+08  -0.125807E+06  -0.129244E+06   0.000000E+00   0.207320E+08   0.207320E+08   0.207320E+08  -0.612157E+00   0.113574E+08   0.113566E+08   0.214823E+03
   0.126241E-02   0.208343E+08   0.208303E+08  -0.220394E+06  -0.233891E+06   0.000000E+00   0.208337E+08   0.208337E+08   0.208336E+08  -0.627438E+00   0.114184E+08   0.114176E+08   0.199118E+03
