#    L    TT             EE             BB             TE          
    91    0.22973E+04    0.57029E+00    0.23351E-02   -0.15434E+02
    92    0.23249E+04    0.58458E+00    0.23870E-02   -0.16018E+02
    93    0.23527E+04    0.59888E+00    0.24396E-02   -0.16607E+02
    94    0.23807E+04    0.61316E+00    0.24927E-02   -0.17200E+02
    95    0.24089E+04    0.62740E+00    0.25465E-02   -0.17797E+02
    96    0.24370E+04    0.64161E+00    0.26009E-02   -0.18399E+02
    97    0.24656E+04    0.65577E+00    0.26559E-02   -0.19004E+02
    98    0.24945E+04    0.66987E+00    0.27116E-02   -0.19611E+02
    99    0.25234E+04    0.68387E+00    0.27679E-02   -0.20222E+02
   100    0.25525E+04    0.69779E+00    0.28248E-02   -0.20832E+02
   101    0.25818E+04    0.71167E+00    0.28823E-02   -0.21446E+02
   102    0.26117E+04    0.72538E+00    0.29405E-02   -0.22061E+02
   103    0.26414E+04    0.73898E+00    0.29994E-02   -0.22678E+02
   104    0.26714E+04    0.75249E+00    0.30588E-02   -0.23294E+02
   105    0.27015E+04    0.76582E+00    0.31189E-02   -0.23910E+02
   106    0.27319E+04    0.77906E+00    0.31797E-02   -0.24526E+02
   107    0.27621E+04    0.79205E+00    0.32411E-02   -0.25141E+02
   108    0.27928E+04    0.80488E+00    0.33032E-02   -0.25755E+02
   109    0.28236E+04    0.81746E+00    0.33659E-02   -0.26367E+02
   110    0.28545E+04    0.82981E+00    0.34292E-02   -0.26975E+02
   111    0.28855E+04    0.84200E+00    0.34933E-02   -0.27582E+02
   112    0.29167E+04    0.85395E+00    0.35580E-02   -0.28186E+02
   113    0.29482E+04    0.86566E+00    0.36233E-02   -0.28787E+02
   114    0.29797E+04    0.87706E+00    0.36893E-02   -0.29382E+02
   115    0.30115E+04    0.88831E+00    0.37560E-02   -0.29973E+02
   116    0.30432E+04    0.89916E+00    0.38234E-02   -0.30558E+02
   117    0.30753E+04    0.90971E+00    0.38915E-02   -0.31137E+02
   118    0.31075E+04    0.92009E+00    0.39602E-02   -0.31711E+02
   119    0.31397E+04    0.93017E+00    0.40297E-02   -0.32276E+02
   120    0.31721E+04    0.93978E+00    0.40998E-02   -0.32835E+02
   121    0.32045E+04    0.94923E+00    0.41706E-02   -0.33385E+02
   122    0.32370E+04    0.95823E+00    0.42421E-02   -0.33928E+02
   123    0.32696E+04    0.96684E+00    0.43144E-02   -0.34462E+02
   124    0.33022E+04    0.97514E+00    0.43873E-02   -0.34984E+02
   125    0.33348E+04    0.98306E+00    0.44610E-02   -0.35498E+02
   126    0.33675E+04    0.99066E+00    0.45354E-02   -0.36002E+02
   127    0.34002E+04    0.99781E+00    0.46106E-02   -0.36495E+02
