#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14295E+04    0.13238E+00    0.00000E+00   -0.83164E-01    0.16009E-06   -0.63400E-03   -0.85518E-06
    55    0.14488E+04    0.14047E+00    0.00000E+00   -0.29754E+00    0.15900E-06   -0.60803E-03   -0.91910E-06
    56    0.14685E+04    0.14880E+00    0.00000E+00   -0.52197E+00    0.15792E-06   -0.58321E-03   -0.92308E-06
    57    0.14884E+04    0.15725E+00    0.00000E+00   -0.75659E+00    0.15684E-06   -0.55942E-03   -0.88001E-06
    58    0.15087E+04    0.16584E+00    0.00000E+00   -0.10025E+01    0.15575E-06   -0.53656E-03   -0.81041E-06
    59    0.15291E+04    0.17461E+00    0.00000E+00   -0.12609E+01    0.15467E-06   -0.51450E-03   -0.73478E-06
    60    0.15496E+04    0.18361E+00    0.00000E+00   -0.15315E+01    0.15359E-06   -0.49315E-03   -0.67354E-06
    61    0.15707E+04    0.19293E+00    0.00000E+00   -0.18138E+01    0.15251E-06   -0.47244E-03   -0.64171E-06
    62    0.15916E+04    0.20258E+00    0.00000E+00   -0.21087E+01    0.15144E-06   -0.45242E-03   -0.63259E-06
    63    0.16126E+04    0.21250E+00    0.00000E+00   -0.24171E+01    0.15037E-06   -0.43320E-03   -0.63411E-06
    64    0.16340E+04    0.22272E+00    0.00000E+00   -0.27403E+01    0.14930E-06   -0.41490E-03   -0.63419E-06
    65    0.16555E+04    0.23320E+00    0.00000E+00   -0.30786E+01    0.14823E-06   -0.39761E-03   -0.62079E-06
    66    0.16772E+04    0.24389E+00    0.00000E+00   -0.34304E+01    0.14717E-06   -0.38141E-03   -0.58611E-06
    67    0.16991E+04    0.25477E+00    0.00000E+00   -0.37927E+01    0.14612E-06   -0.36619E-03   -0.53926E-06
    68    0.17214E+04    0.26590E+00    0.00000E+00   -0.41640E+01    0.14508E-06   -0.35183E-03   -0.49358E-06
    69    0.17439E+04    0.27723E+00    0.00000E+00   -0.45425E+01    0.14403E-06   -0.33817E-03   -0.46237E-06
    70    0.17666E+04    0.28880E+00    0.00000E+00   -0.49300E+01    0.14300E-06   -0.32510E-03   -0.45892E-06
    71    0.17896E+04    0.30059E+00    0.00000E+00   -0.53289E+01    0.14197E-06   -0.31248E-03   -0.49204E-06
    72    0.18126E+04    0.31260E+00    0.00000E+00   -0.57404E+01    0.14095E-06   -0.30026E-03   -0.55269E-06
    73    0.18358E+04    0.32477E+00    0.00000E+00   -0.61650E+01    0.13994E-06   -0.28840E-03   -0.62736E-06
    74    0.18593E+04    0.33711E+00    0.00000E+00   -0.66017E+01    0.13893E-06   -0.27684E-03   -0.70257E-06
    75    0.18830E+04    0.34963E+00    0.00000E+00   -0.70488E+01    0.13792E-06   -0.26554E-03   -0.76483E-06
    76    0.19070E+04    0.36234E+00    0.00000E+00   -0.75056E+01    0.13692E-06   -0.25447E-03   -0.80337E-06
    77    0.19313E+04    0.37522E+00    0.00000E+00   -0.79721E+01    0.13593E-06   -0.24368E-03   -0.81807E-06
