#    L    TT             EE             BB             TE             PP             TP             EP          
    53    0.16887E+04    0.17339E+00    0.42261E-01   -0.19726E+01    0.15886E-06   -0.41156E-03   -0.79031E-06
    54    0.17042E+04    0.18243E+00    0.43209E-01   -0.22228E+01    0.15790E-06   -0.39878E-03   -0.89557E-06
    55    0.17199E+04    0.19184E+00    0.44140E-01   -0.24804E+01    0.15693E-06   -0.38632E-03   -0.95872E-06
    56    0.17358E+04    0.20148E+00    0.45054E-01   -0.27467E+01    0.15596E-06   -0.37415E-03   -0.96197E-06
    57    0.17520E+04    0.21124E+00    0.45948E-01   -0.30218E+01    0.15499E-06   -0.36220E-03   -0.91820E-06
    58    0.17684E+04    0.22113E+00    0.46824E-01   -0.33066E+01    0.15401E-06   -0.35042E-03   -0.84792E-06
    59    0.17849E+04    0.23119E+00    0.47679E-01   -0.36022E+01    0.15302E-06   -0.33874E-03   -0.77158E-06
    60    0.18015E+04    0.24148E+00    0.48513E-01   -0.39085E+01    0.15204E-06   -0.32711E-03   -0.70962E-06
    61    0.18186E+04    0.25208E+00    0.49325E-01   -0.42247E+01    0.15105E-06   -0.31549E-03   -0.67701E-06
    62    0.18356E+04    0.26298E+00    0.50114E-01   -0.45518E+01    0.15005E-06   -0.30400E-03   -0.66707E-06
    63    0.18526E+04    0.27416E+00    0.50881E-01   -0.48908E+01    0.14906E-06   -0.29279E-03   -0.66772E-06
    64    0.18699E+04    0.28561E+00    0.51624E-01   -0.52428E+01    0.14807E-06   -0.28200E-03   -0.66691E-06
    65    0.18873E+04    0.29731E+00    0.52342E-01   -0.56083E+01    0.14708E-06   -0.27177E-03   -0.65260E-06
    66    0.19050E+04    0.30920E+00    0.53037E-01   -0.59854E+01    0.14609E-06   -0.26220E-03   -0.61699E-06
    67    0.19228E+04    0.32127E+00    0.53706E-01   -0.63714E+01    0.14511E-06   -0.25323E-03   -0.56920E-06
    68    0.19410E+04    0.33357E+00    0.54349E-01   -0.67644E+01    0.14412E-06   -0.24473E-03   -0.52258E-06
    69    0.19594E+04    0.34605E+00    0.54965E-01   -0.71628E+01    0.14314E-06   -0.23661E-03   -0.49044E-06
    70    0.19781E+04    0.35875E+00    0.55554E-01   -0.75682E+01    0.14217E-06   -0.22874E-03   -0.48609E-06
    71    0.19969E+04    0.37165E+00    0.56116E-01   -0.79829E+01    0.14120E-06   -0.22102E-03   -0.51836E-06
    72    0.20159E+04    0.38474E+00    0.56650E-01   -0.84083E+01    0.14023E-06   -0.21341E-03   -0.57819E-06
    73    0.20350E+04    0.39798E+00    0.57156E-01   -0.88449E+01    0.13927E-06   -0.20590E-03   -0.65208E-06
    74    0.20543E+04    0.41137E+00    0.57634E-01   -0.92918E+01    0.13831E-06   -0.19844E-03   -0.72656E-06
    75    0.20740E+04    0.42492E+00    0.58086E-01   -0.97475E+01    0.13735E-06   -0.19102E-03   -0.78814E-06
    76    0.20939E+04    0.43863E+00    0.58511E-01   -0.10211E+02    0.13640E-06   -0.18362E-03   -0.82605E-06
    77    0.21142E+04    0.45249E+00    0.58908E-01   -0.10683E+02    0.13545E-06   -0.17630E-03   -0.84017E-06
    78    0.21349E+04    0.46653E+00    0.59277E-01   -0.11165E+02    0.13451E-06   -0.16912E-03   -0.83306E-06
    79    0.21557E+04    0.48070E+00    0.59617E-01   -0.11653E+02    0.13357E-06   -0.16216E-03   -0.80728E-06
    80    0.21768E+04    0.49498E+00    0.59928E-01   -0.12149E+02    0.13263E-06   -0.15546E-03   -0.76537E-06
    81    0.21981E+04    0.50935E+00    0.60210E-01   -0.12653E+02    0.13170E-06   -0.14910E-03   -0.71103E-06
    82    0.22196E+04    0.52381E+00    0.60463E-01   -0.13165E+02    0.13078E-06   -0.14307E-03   -0.65248E-06
    83    0.22414E+04    0.53834E+00    0.60687E-01   -0.13684E+02    0.12986E-06   -0.13732E-03   -0.59912E-06
