#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42    0.12107E+04    0.15526E+01   -0.25319E-04    0.15526E+01    0.58695E-01   -0.11096E-07   -0.25319E-04   -0.11096E-07    0.95738E-10
    43    0.12278E+04    0.14772E+01   -0.23622E-04    0.14772E+01    0.63514E-01   -0.10851E-07   -0.23622E-04   -0.10851E-07    0.90841E-10
    44    0.12449E+04    0.13910E+01   -0.22059E-04    0.13910E+01    0.68575E-01   -0.11120E-07   -0.22059E-04   -0.11120E-07    0.86280E-10
    45    0.12624E+04    0.12932E+01   -0.20617E-04    0.12932E+01    0.73871E-01   -0.11246E-07   -0.20617E-04   -0.11246E-07    0.82024E-10
    46    0.12802E+04    0.11815E+01   -0.19285E-04    0.11815E+01    0.79400E-01   -0.10746E-07   -0.19285E-04   -0.10746E-07    0.78043E-10
    47    0.12981E+04    0.10569E+01   -0.18053E-04    0.10569E+01    0.85162E-01   -0.98369E-08   -0.18053E-04   -0.98369E-08    0.74316E-10
    48    0.13161E+04    0.92394E+00   -0.16914E-04    0.92394E+00    0.91167E-01   -0.89088E-08   -0.16914E-04   -0.89088E-08    0.70826E-10
    49    0.13344E+04    0.78663E+00   -0.15860E-04    0.78663E+00    0.97402E-01   -0.83532E-08   -0.15860E-04   -0.83532E-08    0.67554E-10
    50    0.13530E+04    0.64210E+00   -0.14884E-04    0.64210E+00    0.10385E+00   -0.85611E-08   -0.14884E-04   -0.85611E-08    0.64482E-10
    51    0.13718E+04    0.48603E+00   -0.13980E-04    0.48603E+00    0.11047E+00   -0.97782E-08   -0.13980E-04   -0.97782E-08    0.61593E-10
    52    0.13911E+04    0.31374E+00   -0.13140E-04    0.31374E+00    0.11737E+00   -0.11668E-07   -0.13140E-04   -0.11668E-07    0.58874E-10
    53    0.14103E+04    0.12232E+00   -0.12359E-04    0.12232E+00    0.12467E+00   -0.13750E-07   -0.12359E-04   -0.13750E-07    0.56314E-10
    54    0.14295E+04   -0.83164E-01   -0.11633E-04   -0.83164E-01    0.13238E+00   -0.15541E-07   -0.11633E-04   -0.15541E-07    0.53901E-10
    55    0.14488E+04   -0.29754E+00   -0.10956E-04   -0.29754E+00    0.14047E+00   -0.16561E-07   -0.10956E-04   -0.16561E-07    0.51625E-10
    56    0.14685E+04   -0.52197E+00   -0.10322E-04   -0.52197E+00    0.14880E+00   -0.16471E-07   -0.10322E-04   -0.16471E-07    0.49473E-10
    57    0.14884E+04   -0.75659E+00   -0.97288E-05   -0.75659E+00    0.15725E+00   -0.15505E-07   -0.97288E-05   -0.15505E-07    0.47439E-10
    58    0.15087E+04   -0.10025E+01   -0.91715E-05   -0.10025E+01    0.16584E+00   -0.14042E-07   -0.91715E-05   -0.14042E-07    0.45514E-10
    59    0.15291E+04   -0.12609E+01   -0.86470E-05   -0.12609E+01    0.17461E+00   -0.12459E-07   -0.86470E-05   -0.12459E-07    0.43692E-10
    60    0.15496E+04   -0.15315E+01   -0.81516E-05   -0.15315E+01    0.18361E+00   -0.11133E-07   -0.81516E-05   -0.11133E-07    0.41965E-10
