#    L    TT             EE             BB             TE          
    91    0.24267E+04    0.65822E+00    0.63829E-01   -0.18033E+02
    92    0.24507E+04    0.67304E+00    0.63851E-01   -0.18597E+02
    93    0.24750E+04    0.68783E+00    0.63847E-01   -0.19165E+02
    94    0.24995E+04    0.70256E+00    0.63816E-01   -0.19736E+02
    95    0.25242E+04    0.71724E+00    0.63760E-01   -0.20310E+02
    96    0.25490E+04    0.73184E+00    0.63678E-01   -0.20887E+02
    97    0.25743E+04    0.74636E+00    0.63572E-01   -0.21466E+02
    98    0.25999E+04    0.76078E+00    0.63442E-01   -0.22045E+02
    99    0.26255E+04    0.77508E+00    0.63289E-01   -0.22628E+02
   100    0.26515E+04    0.78925E+00    0.63112E-01   -0.23209E+02
   101    0.26777E+04    0.80336E+00    0.62913E-01   -0.23793E+02
   102    0.27045E+04    0.81726E+00    0.62692E-01   -0.24377E+02
   103    0.27312E+04    0.83103E+00    0.62449E-01   -0.24961E+02
   104    0.27583E+04    0.84466E+00    0.62186E-01   -0.25544E+02
   105    0.27855E+04    0.85808E+00    0.61902E-01   -0.26126E+02
   106    0.28130E+04    0.87138E+00    0.61598E-01   -0.26708E+02
   107    0.28405E+04    0.88440E+00    0.61275E-01   -0.27287E+02
   108    0.28684E+04    0.89723E+00    0.60932E-01   -0.27865E+02
   109    0.28965E+04    0.90978E+00    0.60572E-01   -0.28440E+02
   110    0.29248E+04    0.92206E+00    0.60193E-01   -0.29011E+02
   111    0.29533E+04    0.93414E+00    0.59798E-01   -0.29580E+02
   112    0.29820E+04    0.94596E+00    0.59385E-01   -0.30146E+02
   113    0.30110E+04    0.95750E+00    0.58957E-01   -0.30708E+02
   114    0.30401E+04    0.96871E+00    0.58514E-01   -0.31264E+02
   115    0.30696E+04    0.97972E+00    0.58056E-01   -0.31815E+02
   116    0.30991E+04    0.99032E+00    0.57584E-01   -0.32360E+02
   117    0.31289E+04    0.10006E+01    0.57099E-01   -0.32899E+02
   118    0.31590E+04    0.10106E+01    0.56602E-01   -0.33432E+02
   119    0.31891E+04    0.10204E+01    0.56092E-01   -0.33957E+02
   120    0.32195E+04    0.10296E+01    0.55572E-01   -0.34475E+02
   121    0.32499E+04    0.10386E+01    0.55042E-01   -0.34984E+02
   122    0.32805E+04    0.10472E+01    0.54502E-01   -0.35485E+02
   123    0.33112E+04    0.10554E+01    0.53953E-01   -0.35978E+02
   124    0.33420E+04    0.10632E+01    0.53395E-01   -0.36459E+02
   125    0.33729E+04    0.10706E+01    0.52830E-01   -0.36932E+02
   126    0.34039E+04    0.10776E+01    0.52259E-01   -0.37394E+02
   127    0.34349E+04    0.10842E+01    0.51681E-01   -0.37847E+02
   128    0.34661E+04    0.10904E+01    0.51098E-01   -0.38288E+02
   129    0.34973E+04    0.10962E+01    0.50510E-01   -0.38717E+02
   130    0.35286E+04    0.11014E+01    0.49918E-01   -0.39133E+02
   131    0.35600E+04    0.11064E+01    0.49323E-01   -0.39539E+02
   132    0.35915E+04    0.11108E+01    0.48725E-01   -0.39931E+02
   133    0.36230E+04    0.11149E+01    0.48124E-01   -0.40311E+02
   134    0.36546E+04    0.11185E+01    0.47523E-01   -0.40676E+02
   135    0.36862E+04    0.11216E+01    0.46920E-01   -0.41027E+02
   136    0.37177E+04    0.11243E+01    0.46317E-01   -0.41362E+02
   137    0.37493E+04    0.11265E+01    0.45713E-01   -0.41682E+02
   138    0.37808E+04    0.11283E+01    0.45111E-01   -0.41987E+02
   139    0.38122E+04    0.11297E+01    0.44510E-01   -0.42276E+02
   140    0.38438E+04    0.11305E+01    0.43911E-01   -0.42548E+02
   141    0.38752E+04    0.11308E+01    0.43314E-01   -0.42804E+02
   142    0.39066E+04    0.11308E+01    0.42720E-01   -0.43042E+02
   143    0.39381E+04    0.11303E+01    0.42130E-01   -0.43263E+02
   144    0.39694E+04    0.11293E+01    0.41543E-01   -0.43467E+02
   145    0.40006E+04    0.11279E+01    0.40962E-01   -0.43653E+02
   146    0.40320E+04    0.11260E+01    0.40386E-01   -0.43820E+02
   147    0.40631E+04    0.11237E+01    0.39816E-01   -0.43968E+02
   148    0.40941E+04    0.11209E+01    0.39252E-01   -0.44098E+02
   149    0.41251E+04    0.11178E+01    0.38695E-01   -0.44209E+02
   150    0.41559E+04    0.11142E+01    0.38146E-01   -0.44298E+02
   151    0.41866E+04    0.11102E+01    0.37605E-01   -0.44368E+02
   152    0.42171E+04    0.11057E+01    0.37072E-01   -0.44418E+02
   153    0.42475E+04    0.11009E+01    0.36548E-01   -0.44446E+02
   154    0.42778E+04    0.10957E+01    0.36033E-01   -0.44454E+02
   155    0.43080E+04    0.10901E+01    0.35527E-01   -0.44441E+02
   156    0.43378E+04    0.10841E+01    0.35030E-01   -0.44407E+02
   157    0.43676E+04    0.10778E+01    0.34543E-01   -0.44350E+02
   158    0.43973E+04    0.10711E+01    0.34065E-01   -0.44272E+02
   159    0.44267E+04    0.10640E+01    0.33598E-01   -0.44172E+02
   160    0.44559E+04    0.10566E+01    0.33141E-01   -0.44048E+02
   161    0.44850E+04    0.10490E+01    0.32695E-01   -0.43903E+02
   162    0.45139E+04    0.10409E+01    0.32259E-01   -0.43736E+02
   163    0.45427E+04    0.10326E+01    0.31834E-01   -0.43545E+02
   164    0.45711E+04    0.10239E+01    0.31421E-01   -0.43332E+02
   165    0.45994E+04    0.10150E+01    0.31019E-01   -0.43095E+02
   166    0.46275E+04    0.10058E+01    0.30629E-01   -0.42835E+02
   167    0.46555E+04    0.99629E+00    0.30251E-01   -0.42554E+02
   168    0.46831E+04    0.98669E+00    0.29884E-01   -0.42247E+02
   169    0.47104E+04    0.97675E+00    0.29531E-01   -0.41917E+02
   170    0.47375E+04    0.96668E+00    0.29190E-01   -0.41563E+02
   171    0.47643E+04    0.95649E+00    0.28861E-01   -0.41184E+02
   172    0.47907E+04    0.94608E+00    0.28546E-01   -0.40781E+02
   173    0.48167E+04    0.93547E+00    0.28244E-01   -0.40355E+02
   174    0.48425E+04    0.92494E+00    0.27956E-01   -0.39905E+02
   175    0.48680E+04    0.91419E+00    0.27681E-01   -0.39430E+02
   176    0.48931E+04    0.90344E+00    0.27421E-01   -0.38930E+02
   177    0.49178E+04    0.89262E+00    0.27174E-01   -0.38407E+02
   178    0.49422E+04    0.88193E+00    0.26941E-01   -0.37859E+02
   179    0.49662E+04    0.87108E+00    0.26721E-01   -0.37287E+02
   180    0.49899E+04    0.86028E+00    0.26515E-01   -0.36690E+02
   181    0.50132E+04    0.84952E+00    0.26322E-01   -0.36070E+02
   182    0.50361E+04    0.83888E+00    0.26142E-01   -0.35425E+02
   183    0.50585E+04    0.82827E+00    0.25975E-01   -0.34756E+02
   184    0.50807E+04    0.81777E+00    0.25821E-01   -0.34062E+02
   185    0.51024E+04    0.80751E+00    0.25679E-01   -0.33346E+02
   186    0.51234E+04    0.79735E+00    0.25549E-01   -0.32603E+02
   187    0.51443E+04    0.78743E+00    0.25432E-01   -0.31837E+02
   188    0.51648E+04    0.77772E+00    0.25327E-01   -0.31048E+02
   189    0.51847E+04    0.76825E+00    0.25233E-01   -0.30234E+02
   190    0.52045E+04    0.75907E+00    0.25152E-01   -0.29397E+02
   191    0.52235E+04    0.75020E+00    0.25082E-01   -0.28536E+02
   192    0.52422E+04    0.74165E+00    0.25023E-01   -0.27651E+02
   193    0.52604E+04    0.73346E+00    0.24976E-01   -0.26744E+02
   194    0.52783E+04    0.72565E+00    0.24939E-01   -0.25812E+02
   195    0.52956E+04    0.71827E+00    0.24914E-01   -0.24859E+02
   196    0.53124E+04    0.71133E+00    0.24899E-01   -0.23883E+02
   197    0.53288E+04    0.70487E+00    0.24895E-01   -0.22885E+02
   198    0.53448E+04    0.69892E+00    0.24901E-01   -0.21864E+02
   199    0.53603E+04    0.69350E+00    0.24918E-01   -0.20822E+02
   200    0.53753E+04    0.68864E+00    0.24944E-01   -0.19758E+02
   201    0.53898E+04    0.68439E+00    0.24981E-01   -0.18673E+02
   202    0.54039E+04    0.68075E+00    0.25027E-01   -0.17567E+02
   203    0.54174E+04    0.67779E+00    0.25082E-01   -0.16439E+02
   204    0.54303E+04    0.67553E+00    0.25147E-01   -0.15293E+02
   205    0.54428E+04    0.67400E+00    0.25220E-01   -0.14126E+02
   206    0.54546E+04    0.67325E+00    0.25303E-01   -0.12938E+02
   207    0.54660E+04    0.67329E+00    0.25393E-01   -0.11732E+02
   208    0.54767E+04    0.67418E+00    0.25492E-01   -0.10506E+02
   209    0.54869E+04    0.67594E+00    0.25599E-01   -0.92617E+01
   210    0.54965E+04    0.67861E+00    0.25713E-01   -0.79991E+01
   211    0.55055E+04    0.68223E+00    0.25834E-01   -0.67184E+01
   212    0.55139E+04    0.68682E+00    0.25963E-01   -0.54203E+01
   213    0.55218E+04    0.69243E+00    0.26098E-01   -0.41049E+01
