#           k/h    P           
    0.42098E-02    0.19001E+05
    0.42948E-02    0.19289E+05
    0.43816E-02    0.19578E+05
    0.44701E-02    0.19868E+05
    0.45604E-02    0.20160E+05
    0.46525E-02    0.20454E+05
    0.47465E-02    0.20749E+05
    0.48424E-02    0.21045E+05
    0.49402E-02    0.21342E+05
    0.50400E-02    0.21641E+05
    0.51419E-02    0.21940E+05
    0.52457E-02    0.22240E+05
    0.53517E-02    0.22541E+05
    0.54598E-02    0.22842E+05
    0.55701E-02    0.23143E+05
    0.56826E-02    0.23445E+05
    0.57974E-02    0.23747E+05
    0.59145E-02    0.24049E+05
    0.60340E-02    0.24350E+05
    0.61559E-02    0.24651E+05
    0.62803E-02    0.24952E+05
    0.64072E-02    0.25252E+05
    0.65366E-02    0.25551E+05
    0.66686E-02    0.25849E+05
    0.68033E-02    0.26145E+05
    0.69408E-02    0.26440E+05
    0.70810E-02    0.26733E+05
    0.72240E-02    0.27025E+05
    0.73700E-02    0.27314E+05
    0.75189E-02    0.27601E+05
    0.76708E-02    0.27885E+05
    0.78257E-02    0.28166E+05
    0.79838E-02    0.28444E+05
    0.81451E-02    0.28719E+05
    0.83096E-02    0.28990E+05
    0.84775E-02    0.29257E+05
    0.86488E-02    0.29520E+05
    0.88235E-02    0.29779E+05
    0.90017E-02    0.30032E+05
    0.91836E-02    0.30281E+05
    0.93691E-02    0.30524E+05
    0.95583E-02    0.30762E+05
    0.97514E-02    0.30993E+05
    0.99484E-02    0.31219E+05
    0.10149E-01    0.31437E+05
    0.10354E-01    0.31649E+05
    0.10564E-01    0.31853E+05
    0.10777E-01    0.32050E+05
    0.10995E-01    0.32239E+05
    0.11217E-01    0.32419E+05
    0.11443E-01    0.32590E+05
    0.11675E-01    0.32752E+05
    0.11910E-01    0.32904E+05
    0.12151E-01    0.33047E+05
    0.12397E-01    0.33181E+05
    0.12647E-01    0.33304E+05
    0.12902E-01    0.33416E+05
    0.13163E-01    0.33517E+05
    0.13429E-01    0.33605E+05
    0.13700E-01    0.33678E+05
    0.13977E-01    0.33738E+05
    0.14259E-01    0.33784E+05
    0.14547E-01    0.33819E+05
    0.14841E-01    0.33845E+05
    0.15141E-01    0.33864E+05
    0.15447E-01    0.33876E+05
    0.15759E-01    0.33881E+05
    0.16077E-01    0.33872E+05
    0.16402E-01    0.33847E+05
    0.16734E-01    0.33802E+05
    0.17072E-01    0.33734E+05
    0.17416E-01    0.33644E+05
    0.17768E-01    0.33534E+05
    0.18127E-01    0.33408E+05
    0.18493E-01    0.33267E+05
    0.18867E-01    0.33112E+05
    0.19248E-01    0.32943E+05
    0.19637E-01    0.32757E+05
    0.20034E-01    0.32550E+05
    0.20438E-01    0.32323E+05
    0.20851E-01    0.32072E+05
    0.21272E-01    0.31800E+05
    0.21702E-01    0.31510E+05
    0.22141E-01    0.31205E+05
    0.22588E-01    0.30887E+05
    0.23044E-01    0.30559E+05
    0.23510E-01    0.30221E+05
    0.23985E-01    0.29873E+05
    0.24469E-01    0.29514E+05
    0.24964E-01    0.29145E+05
    0.25468E-01    0.28766E+05
    0.25982E-01    0.28377E+05
    0.26507E-01    0.27976E+05
    0.27043E-01    0.27564E+05
    0.27589E-01    0.27140E+05
    0.28146E-01    0.26706E+05
    0.28715E-01    0.26261E+05
    0.29295E-01    0.25808E+05
    0.29887E-01    0.25348E+05
