#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.70808E+03    0.33085E+01    0.50807E-03    0.33085E+01    0.52452E-01   -0.70050E-05    0.50807E-03   -0.70050E-05    0.11916E-07
     3    0.80234E+03    0.46500E+01    0.10487E-03    0.46500E+01    0.85374E-01   -0.60571E-05    0.10487E-03   -0.60571E-05    0.72746E-08
     4    0.82636E+03    0.48147E+01   -0.31485E-04    0.48147E+01    0.96617E-01   -0.47482E-05   -0.31485E-04   -0.47482E-05    0.50096E-08
     5    0.82369E+03    0.43815E+01   -0.81203E-04    0.43815E+01    0.86822E-01   -0.34668E-05   -0.81203E-04   -0.34668E-05    0.37006E-08
     6    0.81359E+03    0.37281E+01   -0.98527E-04    0.37281E+01    0.65272E-01   -0.23420E-05   -0.98527E-04   -0.23420E-05    0.28619E-08
     7    0.80380E+03    0.30456E+01   -0.10252E-03    0.30456E+01    0.42338E-01   -0.14211E-05   -0.10252E-03   -0.14211E-05    0.22871E-08
     8    0.79676E+03    0.24288E+01   -0.10124E-03    0.24288E+01    0.24710E-01   -0.71552E-06   -0.10124E-03   -0.71552E-06    0.18734E-08
     9    0.79289E+03    0.19157E+01   -0.97971E-04    0.19157E+01    0.14305E-01   -0.22243E-06   -0.97971E-04   -0.22243E-06    0.15644E-08
    10    0.79187E+03    0.15217E+01   -0.93595E-04    0.15217E+01    0.96917E-02    0.77266E-07   -0.93595E-04    0.77266E-07    0.13267E-08
    11    0.79302E+03    0.12477E+01   -0.88416E-04    0.12477E+01    0.82229E-02    0.22257E-06   -0.88416E-04    0.22257E-06    0.11397E-08
    12    0.79699E+03    0.10852E+01   -0.82833E-04    0.10852E+01    0.77393E-02    0.26147E-06   -0.82833E-04    0.26147E-06    0.98936E-09
    13    0.80223E+03    0.10127E+01   -0.77283E-04    0.10127E+01    0.70934E-02    0.22825E-06   -0.77283E-04    0.22825E-06    0.86691E-09
    14    0.80801E+03    0.10051E+01   -0.72131E-04    0.10051E+01    0.62371E-02    0.15195E-06   -0.72131E-04    0.15195E-06    0.76548E-09
    15    0.81485E+03    0.10426E+01   -0.67409E-04    0.10426E+01    0.54593E-02    0.56814E-07   -0.67409E-04    0.56814E-07    0.68061E-09
    16    0.82334E+03    0.11073E+01   -0.63059E-04    0.11073E+01    0.50313E-02   -0.35166E-07   -0.63059E-04   -0.35166E-07    0.60877E-09
    17    0.83343E+03    0.11801E+01   -0.58982E-04    0.11801E+01    0.50386E-02   -0.10614E-06   -0.58982E-04   -0.10614E-06    0.54748E-09
    18    0.84417E+03    0.12467E+01   -0.55108E-04    0.12467E+01    0.53091E-02   -0.14402E-06   -0.55108E-04   -0.14402E-06    0.49473E-09
    19    0.85636E+03    0.13057E+01   -0.51520E-04    0.13057E+01    0.56737E-02   -0.15567E-06   -0.51520E-04   -0.15567E-06    0.44901E-09
    20    0.86833E+03    0.13560E+01   -0.48300E-04    0.13560E+01    0.60516E-02   -0.15142E-06   -0.48300E-04   -0.15142E-06    0.40907E-09
    21    0.88050E+03    0.13988E+01   -0.45387E-04    0.13988E+01    0.64427E-02   -0.13637E-06   -0.45387E-04   -0.13637E-06    0.37402E-09
    22    0.89321E+03    0.14351E+01   -0.42692E-04    0.14351E+01    0.69513E-02   -0.11407E-06   -0.42692E-04   -0.11407E-06    0.34308E-09
    23    0.90627E+03    0.14677E+01   -0.40160E-04    0.14677E+01    0.76571E-02   -0.86969E-07   -0.40160E-04   -0.86969E-07    0.31567E-09
    24    0.91972E+03    0.14995E+01   -0.37763E-04    0.14995E+01    0.85908E-02   -0.58158E-07   -0.37763E-04   -0.58158E-07    0.29123E-09
    25    0.93351E+03    0.15336E+01   -0.35527E-04    0.15336E+01    0.97813E-02   -0.34466E-07   -0.35527E-04   -0.34466E-07    0.26938E-09
    26    0.94747E+03    0.15733E+01   -0.33479E-04    0.15733E+01    0.11209E-01   -0.21855E-07   -0.33479E-04   -0.21855E-07    0.24975E-09
    27    0.96181E+03    0.16175E+01   -0.31589E-04    0.16175E+01    0.12829E-01   -0.19078E-07   -0.31589E-04   -0.19078E-07    0.23208E-09
    28    0.97640E+03    0.16646E+01   -0.29815E-04    0.16646E+01    0.14620E-01   -0.22811E-07   -0.29815E-04   -0.22811E-07    0.21610E-09
    29    0.99126E+03    0.17106E+01   -0.28132E-04    0.17106E+01    0.16577E-01   -0.28629E-07   -0.28132E-04   -0.28629E-07    0.20161E-09
    30    0.10063E+04    0.17510E+01   -0.26526E-04    0.17510E+01    0.18707E-01   -0.32889E-07   -0.26526E-04   -0.32889E-07    0.18842E-09
    31    0.10215E+04    0.17858E+01   -0.25012E-04    0.17858E+01    0.21013E-01   -0.36175E-07   -0.25012E-04   -0.36175E-07    0.17639E-09
    32    0.10370E+04    0.18150E+01   -0.23607E-04    0.18150E+01    0.23486E-01   -0.39777E-07   -0.23607E-04   -0.39777E-07    0.16539E-09
    33    0.10528E+04    0.18346E+01   -0.22302E-04    0.18346E+01    0.26112E-01   -0.43568E-07   -0.22302E-04   -0.43568E-07    0.15532E-09
    34    0.10689E+04    0.18415E+01   -0.21085E-04    0.18415E+01    0.28889E-01   -0.46759E-07   -0.21085E-04   -0.46759E-07    0.14607E-09
    35    0.10851E+04    0.18375E+01   -0.19951E-04    0.18375E+01    0.31847E-01   -0.47309E-07   -0.19951E-04   -0.47309E-07    0.13756E-09
    36    0.11014E+04    0.18239E+01   -0.18895E-04    0.18239E+01    0.35019E-01   -0.43618E-07   -0.18895E-04   -0.43618E-07    0.12971E-09
    37    0.11178E+04    0.17999E+01   -0.17904E-04    0.17999E+01    0.38400E-01   -0.37102E-07   -0.17904E-04   -0.37102E-07    0.12246E-09
    38    0.11346E+04    0.17662E+01   -0.16965E-04    0.17662E+01    0.41988E-01   -0.29744E-07   -0.16965E-04   -0.29744E-07    0.11575E-09
    39    0.11517E+04    0.17239E+01   -0.16073E-04    0.17239E+01    0.45793E-01   -0.22780E-07   -0.16073E-04   -0.22780E-07    0.10953E-09
    40    0.11690E+04    0.16743E+01   -0.15227E-04    0.16743E+01    0.49836E-01   -0.17258E-07   -0.15227E-04   -0.17258E-07    0.10376E-09
    41    0.11864E+04    0.16175E+01   -0.14424E-04    0.16175E+01    0.54137E-01   -0.13942E-07   -0.14424E-04   -0.13942E-07    0.98385E-10
    42    0.12039E+04    0.15524E+01   -0.13664E-04    0.15524E+01    0.58698E-01   -0.12458E-07   -0.13664E-04   -0.12458E-07    0.93377E-10
    43    0.12215E+04    0.14772E+01   -0.12946E-04    0.14772E+01    0.63518E-01   -0.12148E-07   -0.12946E-04   -0.12148E-07    0.88710E-10
    44    0.12391E+04    0.13910E+01   -0.12267E-04    0.13910E+01    0.68579E-01   -0.12355E-07   -0.12267E-04   -0.12355E-07    0.84354E-10
    45    0.12570E+04    0.12932E+01   -0.11628E-04    0.12932E+01    0.73876E-01   -0.12418E-07   -0.11628E-04   -0.12418E-07    0.80280E-10
    46    0.12752E+04    0.11815E+01   -0.11026E-04    0.11815E+01    0.79405E-01   -0.11856E-07   -0.11026E-04   -0.11856E-07    0.76463E-10
    47    0.12935E+04    0.10567E+01   -0.10460E-04    0.10567E+01    0.85168E-01   -0.10885E-07   -0.10460E-04   -0.10885E-07    0.72884E-10
    48    0.13119E+04    0.92364E+00   -0.99277E-05    0.92364E+00    0.91173E-01   -0.98985E-08   -0.99277E-05   -0.98985E-08    0.69527E-10
    49    0.13304E+04    0.78617E+00   -0.94265E-05    0.78617E+00    0.97408E-01   -0.92880E-08   -0.94265E-05   -0.92880E-08    0.66374E-10
    50    0.13493E+04    0.64153E+00   -0.89545E-05    0.64153E+00    0.10385E+00   -0.94463E-08   -0.89545E-05   -0.94463E-08    0.63409E-10
    51    0.13684E+04    0.48541E+00   -0.85096E-05    0.48541E+00    0.11048E+00   -0.10620E-07   -0.85096E-05   -0.10620E-07    0.60617E-10
    52    0.13879E+04    0.31313E+00   -0.80897E-05    0.31313E+00    0.11737E+00   -0.12472E-07   -0.80897E-05   -0.12472E-07    0.57986E-10
