#    L    TT             EE             TE             PP             TP          
     2    0.13640E+04    0.52598E-01    0.35453E+01    0.20175E+07   -0.66664E+05
     3    0.13899E+04    0.85332E-01    0.45717E+01    0.30124E+07   -0.87490E+05
     4    0.13243E+04    0.96540E-01    0.46740E+01    0.38217E+07   -0.96793E+05
     5    0.12398E+04    0.86759E-01    0.42761E+01    0.44842E+07   -0.99482E+05
     6    0.11609E+04    0.65232E-01    0.36718E+01    0.50303E+07   -0.98508E+05
     7    0.10947E+04    0.42318E-01    0.30238E+01    0.54852E+07   -0.95566E+05
     8    0.10414E+04    0.24702E-01    0.24242E+01    0.58668E+07   -0.91661E+05
     9    0.99963E+03    0.14305E-01    0.19192E+01    0.61894E+07   -0.87371E+05
    10    0.96742E+03    0.96959E-02    0.15299E+01    0.64631E+07   -0.82947E+05
    11    0.94293E+03    0.82280E-02    0.12574E+01    0.66977E+07   -0.78527E+05
    12    0.92564E+03    0.77438E-02    0.10928E+01    0.68976E+07   -0.74177E+05
    13    0.91318E+03    0.70967E-02    0.10170E+01    0.70682E+07   -0.69958E+05
    14    0.90411E+03    0.62392E-02    0.10074E+01    0.72145E+07   -0.65927E+05
    15    0.89844E+03    0.54602E-02    0.10435E+01    0.73398E+07   -0.62122E+05
    16    0.89631E+03    0.50307E-02    0.11064E+01    0.74467E+07   -0.58564E+05
    17    0.89733E+03    0.50373E-02    0.11784E+01    0.75378E+07   -0.55245E+05
    18    0.90028E+03    0.53083E-02    0.12462E+01    0.76153E+07   -0.52146E+05
    19    0.90579E+03    0.56739E-02    0.13068E+01    0.76803E+07   -0.49249E+05
    20    0.91204E+03    0.60519E-02    0.13570E+01    0.77339E+07   -0.46534E+05
    21    0.91929E+03    0.64427E-02    0.13987E+01    0.77776E+07   -0.43998E+05
    22    0.92769E+03    0.69510E-02    0.14340E+01    0.78129E+07   -0.41634E+05
    23    0.93697E+03    0.76570E-02    0.14663E+01    0.78406E+07   -0.39424E+05
    24    0.94707E+03    0.85915E-02    0.14992E+01    0.78613E+07   -0.37347E+05
    25    0.95791E+03    0.97826E-02    0.15344E+01    0.78757E+07   -0.35386E+05
    26    0.96926E+03    0.11211E-01    0.15743E+01    0.78847E+07   -0.33527E+05
    27    0.98131E+03    0.12830E-01    0.16179E+01    0.78889E+07   -0.31772E+05
    28    0.99387E+03    0.14621E-01    0.16642E+01    0.78888E+07   -0.30123E+05
    29    0.10069E+04    0.16578E-01    0.17100E+01    0.78843E+07   -0.28580E+05
    30    0.10204E+04    0.18707E-01    0.17507E+01    0.78756E+07   -0.27139E+05
    31    0.10342E+04    0.21014E-01    0.17860E+01    0.78632E+07   -0.25795E+05
    32    0.10485E+04    0.23488E-01    0.18155E+01    0.78479E+07   -0.24539E+05
    33    0.10633E+04    0.26113E-01    0.18350E+01    0.78299E+07   -0.23360E+05
    34    0.10784E+04    0.28890E-01    0.18416E+01    0.78093E+07   -0.22248E+05
    35    0.10938E+04    0.31848E-01    0.18373E+01    0.77864E+07   -0.21195E+05
    36    0.11093E+04    0.35020E-01    0.18237E+01    0.77613E+07   -0.20192E+05
    37    0.11249E+04    0.38401E-01    0.17997E+01    0.77344E+07   -0.19220E+05
    38    0.11410E+04    0.41989E-01    0.17662E+01    0.77059E+07   -0.18269E+05
    39    0.11574E+04    0.45795E-01    0.17241E+01    0.76758E+07   -0.17356E+05
    40    0.11741E+04    0.49838E-01    0.16745E+01    0.76443E+07   -0.16510E+05
    41    0.11911E+04    0.54139E-01    0.16177E+01    0.76114E+07   -0.15750E+05
    42    0.12082E+04    0.58700E-01    0.15525E+01    0.75772E+07   -0.15061E+05
    43    0.12255E+04    0.63520E-01    0.14771E+01    0.75418E+07   -0.14421E+05
    44    0.12428E+04    0.68581E-01    0.13909E+01    0.75053E+07   -0.13809E+05
    45    0.12605E+04    0.73878E-01    0.12931E+01    0.74679E+07   -0.13202E+05
    46    0.12784E+04    0.79407E-01    0.11813E+01    0.74297E+07   -0.12584E+05
    47    0.12964E+04    0.85170E-01    0.10567E+01    0.73907E+07   -0.11966E+05
    48    0.13144E+04    0.91176E-01    0.92380E+00    0.73511E+07   -0.11368E+05
    49    0.13327E+04    0.97411E-01    0.78649E+00    0.73109E+07   -0.10805E+05
    50    0.13514E+04    0.10385E+00    0.64195E+00    0.72702E+07   -0.10298E+05
    51    0.13703E+04    0.11048E+00    0.48586E+00    0.72290E+07   -0.98558E+04
