#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.13640E+04    0.52598E-01    0.00000E+00    0.35453E+01    0.97258E-07   -0.71516E-02   -0.17427E-04
     3    0.13899E+04    0.85332E-01    0.00000E+00    0.45717E+01    0.11474E-06   -0.78657E-02   -0.20974E-04
     4    0.13243E+04    0.96540E-01    0.00000E+00    0.46740E+01    0.12794E-06   -0.78992E-02   -0.21131E-04
     5    0.12398E+04    0.86759E-01    0.00000E+00    0.42761E+01    0.13835E-06   -0.76364E-02   -0.18855E-04
     6    0.11609E+04    0.65232E-01    0.00000E+00    0.36718E+01    0.14670E-06   -0.72488E-02   -0.15035E-04
     7    0.10947E+04    0.42318E-01    0.00000E+00    0.30238E+01    0.15350E-06   -0.68181E-02   -0.10486E-04
     8    0.10414E+04    0.24702E-01    0.00000E+00    0.24242E+01    0.15909E-06   -0.63869E-02   -0.59174E-05
     9    0.99963E+03    0.14305E-01    0.00000E+00    0.19192E+01    0.16372E-06   -0.59756E-02   -0.19533E-05
    10    0.96742E+03    0.96959E-02    0.00000E+00    0.15299E+01    0.16755E-06   -0.55881E-02    0.96951E-06
    11    0.94293E+03    0.82280E-02    0.00000E+00    0.12574E+01    0.17078E-06   -0.52249E-02    0.27188E-05
    12    0.92564E+03    0.77438E-02    0.00000E+00    0.10928E+01    0.17344E-06   -0.48841E-02    0.34180E-05
    13    0.91318E+03    0.70967E-02    0.00000E+00    0.10170E+01    0.17563E-06   -0.45655E-02    0.32357E-05
    14    0.90411E+03    0.62392E-02    0.00000E+00    0.10074E+01    0.17744E-06   -0.42696E-02    0.23523E-05
    15    0.89844E+03    0.54602E-02    0.00000E+00    0.10435E+01    0.17892E-06   -0.39964E-02    0.10316E-05
    16    0.89631E+03    0.50307E-02    0.00000E+00    0.11064E+01    0.18012E-06   -0.37454E-02   -0.43456E-06
    17    0.89733E+03    0.50373E-02    0.00000E+00    0.11784E+01    0.18106E-06   -0.35148E-02   -0.17059E-05
    18    0.90028E+03    0.53083E-02    0.00000E+00    0.12462E+01    0.18179E-06   -0.33023E-02   -0.25124E-05
    19    0.90579E+03    0.56739E-02    0.00000E+00    0.13068E+01    0.18233E-06   -0.31059E-02   -0.28978E-05
    20    0.91204E+03    0.60519E-02    0.00000E+00    0.13570E+01    0.18269E-06   -0.29237E-02   -0.29715E-05
    21    0.91929E+03    0.64427E-02    0.00000E+00    0.13987E+01    0.18289E-06   -0.27549E-02   -0.28006E-05
    22    0.92769E+03    0.69510E-02    0.00000E+00    0.14340E+01    0.18296E-06   -0.25989E-02   -0.24373E-05
    23    0.93697E+03    0.76570E-02    0.00000E+00    0.14663E+01    0.18291E-06   -0.24539E-02   -0.19167E-05
    24    0.94707E+03    0.85915E-02    0.00000E+00    0.14992E+01    0.18276E-06   -0.23186E-02   -0.12992E-05
    25    0.95791E+03    0.97826E-02    0.00000E+00    0.15344E+01    0.18251E-06   -0.21916E-02   -0.76180E-06
    26    0.96926E+03    0.11211E-01    0.00000E+00    0.15743E+01    0.18218E-06   -0.20718E-02   -0.46787E-06
    27    0.98131E+03    0.12830E-01    0.00000E+00    0.16179E+01    0.18178E-06   -0.19593E-02   -0.41486E-06
    28    0.99387E+03    0.14621E-01    0.00000E+00    0.16642E+01    0.18131E-06   -0.18541E-02   -0.54457E-06
    29    0.10069E+04    0.16578E-01    0.00000E+00    0.17100E+01    0.18077E-06   -0.17560E-02   -0.74049E-06
    30    0.10204E+04    0.18707E-01    0.00000E+00    0.17507E+01    0.18017E-06   -0.16647E-02   -0.90138E-06
    31    0.10342E+04    0.21014E-01    0.00000E+00    0.17860E+01    0.17952E-06   -0.15798E-02   -0.10427E-05
    32    0.10485E+04    0.23488E-01    0.00000E+00    0.18155E+01    0.17882E-06   -0.15006E-02   -0.11996E-05
    33    0.10633E+04    0.26113E-01    0.00000E+00    0.18350E+01    0.17808E-06   -0.14266E-02   -0.13691E-05
    34    0.10784E+04    0.28890E-01    0.00000E+00    0.18416E+01    0.17730E-06   -0.13569E-02   -0.15262E-05
    35    0.10938E+04    0.31848E-01    0.00000E+00    0.18373E+01    0.17649E-06   -0.12911E-02   -0.15937E-05
    36    0.11093E+04    0.35020E-01    0.00000E+00    0.18237E+01    0.17566E-06   -0.12286E-02   -0.15080E-05
    37    0.11249E+04    0.38401E-01    0.00000E+00    0.17997E+01    0.17479E-06   -0.11682E-02   -0.13101E-05
