#    L    TT             EE             TE             PP             TP          
    73    0.18358E+04    0.32477E+00   -0.61650E+01    0.63560E+07   -0.48390E+04
    74    0.18593E+04    0.33711E+00   -0.66017E+01    0.63124E+07   -0.46463E+04
    75    0.18830E+04    0.34963E+00   -0.70488E+01    0.62690E+07   -0.44578E+04
    76    0.19070E+04    0.36234E+00   -0.75056E+01    0.62258E+07   -0.42732E+04
    77    0.19313E+04    0.37522E+00   -0.79721E+01    0.61827E+07   -0.40930E+04
    78    0.19560E+04    0.38830E+00   -0.84502E+01    0.61398E+07   -0.39183E+04
    79    0.19808E+04    0.40153E+00   -0.89363E+01    0.60972E+07   -0.37499E+04
    80    0.20059E+04    0.41492E+00   -0.94322E+01    0.60547E+07   -0.35888E+04
    81    0.20312E+04    0.42842E+00   -0.99385E+01    0.60125E+07   -0.34357E+04
    82    0.20566E+04    0.44204E+00   -0.10454E+02    0.59705E+07   -0.32903E+04
    83    0.20823E+04    0.45577E+00   -0.10979E+02    0.59287E+07   -0.31522E+04
    84    0.21082E+04    0.46960E+00   -0.11512E+02    0.58873E+07   -0.30209E+04
    85    0.21342E+04    0.48350E+00   -0.12052E+02    0.58460E+07   -0.28958E+04
    86    0.21604E+04    0.49749E+00   -0.12600E+02    0.58051E+07   -0.27765E+04
    87    0.21870E+04    0.51154E+00   -0.13154E+02    0.57644E+07   -0.26622E+04
    88    0.22136E+04    0.52566E+00   -0.13714E+02    0.57240E+07   -0.25525E+04
    89    0.22406E+04    0.53985E+00   -0.14283E+02    0.56839E+07   -0.24465E+04
    90    0.22677E+04    0.55407E+00   -0.14856E+02    0.56441E+07   -0.23438E+04
    91    0.22950E+04    0.56832E+00   -0.15436E+02    0.56046E+07   -0.22437E+04
    92    0.23225E+04    0.58258E+00   -0.16020E+02    0.55653E+07   -0.21462E+04
    93    0.23504E+04    0.59685E+00   -0.16610E+02    0.55264E+07   -0.20512E+04
    94    0.23783E+04    0.61110E+00   -0.17204E+02    0.54877E+07   -0.19586E+04
    95    0.24064E+04    0.62531E+00   -0.17802E+02    0.54493E+07   -0.18686E+04
    96    0.24346E+04    0.63949E+00   -0.18405E+02    0.54112E+07   -0.17811E+04
    97    0.24632E+04    0.65362E+00   -0.19011E+02    0.53734E+07   -0.16960E+04
    98    0.24920E+04    0.66769E+00   -0.19619E+02    0.53358E+07   -0.16133E+04
    99    0.25208E+04    0.68167E+00   -0.20231E+02    0.52986E+07   -0.15332E+04
   100    0.25500E+04    0.69555E+00   -0.20843E+02    0.52616E+07   -0.14554E+04
   101    0.25793E+04    0.70940E+00   -0.21458E+02    0.52249E+07   -0.13801E+04
   102    0.26091E+04    0.72308E+00   -0.22074E+02    0.51885E+07   -0.13071E+04
   103    0.26388E+04    0.73665E+00   -0.22692E+02    0.51524E+07   -0.12366E+04
   104    0.26688E+04    0.75013E+00   -0.23309E+02    0.51166E+07   -0.11684E+04
   105    0.26989E+04    0.76343E+00   -0.23927E+02    0.50810E+07   -0.11026E+04
   106    0.27292E+04    0.77664E+00   -0.24545E+02    0.50458E+07   -0.10392E+04
   107    0.27595E+04    0.78960E+00   -0.25161E+02    0.50108E+07   -0.97804E+03
   108    0.27901E+04    0.80239E+00   -0.25776E+02    0.49761E+07   -0.91924E+03
   109    0.28209E+04    0.81495E+00   -0.26390E+02    0.49417E+07   -0.86276E+03
   110    0.28518E+04    0.82726E+00   -0.27000E+02    0.49076E+07   -0.80858E+03
   111    0.28828E+04    0.83942E+00   -0.27609E+02    0.48738E+07   -0.75668E+03
   112    0.29140E+04    0.85133E+00   -0.28215E+02    0.48403E+07   -0.70696E+03
   113    0.29455E+04    0.86301E+00   -0.28817E+02    0.48070E+07   -0.65935E+03
   114    0.29770E+04    0.87438E+00   -0.29415E+02    0.47741E+07   -0.61375E+03
   115    0.30087E+04    0.88559E+00   -0.30007E+02    0.47414E+07   -0.57006E+03
   116    0.30405E+04    0.89641E+00   -0.30595E+02    0.47090E+07   -0.52819E+03
   117    0.30726E+04    0.90691E+00   -0.31176E+02    0.46768E+07   -0.48806E+03
   118    0.31048E+04    0.91726E+00   -0.31752E+02    0.46450E+07   -0.44957E+03
   119    0.31370E+04    0.92730E+00   -0.32320E+02    0.46134E+07   -0.41262E+03
