#    L    TT             EE             BB             TE          
    91    0.22972E+04    0.57031E+00    0.23743E-02   -0.15433E+02
    92    0.23248E+04    0.58461E+00    0.24271E-02   -0.16017E+02
    93    0.23526E+04    0.59891E+00    0.24805E-02   -0.16606E+02
    94    0.23806E+04    0.61318E+00    0.25346E-02   -0.17199E+02
    95    0.24088E+04    0.62743E+00    0.25893E-02   -0.17797E+02
    96    0.24369E+04    0.64164E+00    0.26446E-02   -0.18398E+02
    97    0.24656E+04    0.65580E+00    0.27006E-02   -0.19004E+02
    98    0.24944E+04    0.66990E+00    0.27572E-02   -0.19610E+02
    99    0.25233E+04    0.68391E+00    0.28145E-02   -0.20221E+02
   100    0.25525E+04    0.69782E+00    0.28724E-02   -0.20832E+02
   101    0.25818E+04    0.71171E+00    0.29309E-02   -0.21446E+02
   102    0.26116E+04    0.72541E+00    0.29901E-02   -0.22061E+02
   103    0.26414E+04    0.73902E+00    0.30499E-02   -0.22677E+02
   104    0.26713E+04    0.75253E+00    0.31104E-02   -0.23293E+02
   105    0.27015E+04    0.76586E+00    0.31716E-02   -0.23909E+02
   106    0.27318E+04    0.77910E+00    0.32334E-02   -0.24525E+02
   107    0.27621E+04    0.79209E+00    0.32958E-02   -0.25140E+02
   108    0.27927E+04    0.80492E+00    0.33590E-02   -0.25754E+02
   109    0.28236E+04    0.81751E+00    0.34228E-02   -0.26366E+02
   110    0.28544E+04    0.82986E+00    0.34872E-02   -0.26974E+02
   111    0.28855E+04    0.84205E+00    0.35524E-02   -0.27581E+02
   112    0.29167E+04    0.85400E+00    0.36182E-02   -0.28185E+02
   113    0.29481E+04    0.86571E+00    0.36847E-02   -0.28786E+02
   114    0.29797E+04    0.87712E+00    0.37519E-02   -0.29381E+02
   115    0.30114E+04    0.88836E+00    0.38198E-02   -0.29972E+02
   116    0.30432E+04    0.89922E+00    0.38883E-02   -0.30557E+02
   117    0.30753E+04    0.90976E+00    0.39576E-02   -0.31136E+02
   118    0.31075E+04    0.92015E+00    0.40276E-02   -0.31709E+02
   119    0.31397E+04    0.93022E+00    0.40983E-02   -0.32275E+02
   120    0.31721E+04    0.93984E+00    0.41696E-02   -0.32834E+02
   121    0.32045E+04    0.94930E+00    0.42417E-02   -0.33384E+02
   122    0.32370E+04    0.95829E+00    0.43146E-02   -0.33927E+02
   123    0.32695E+04    0.96691E+00    0.43881E-02   -0.34461E+02
   124    0.33021E+04    0.97521E+00    0.44624E-02   -0.34983E+02
   125    0.33348E+04    0.98313E+00    0.45374E-02   -0.35497E+02
   126    0.33675E+04    0.99074E+00    0.46132E-02   -0.36001E+02
   127    0.34002E+04    0.99789E+00    0.46897E-02   -0.36494E+02
   128    0.34329E+04    0.10047E+01    0.47670E-02   -0.36976E+02
   129    0.34657E+04    0.10111E+01    0.48451E-02   -0.37446E+02
   130    0.34985E+04    0.10170E+01    0.49239E-02   -0.37904E+02
   131    0.35313E+04    0.10227E+01    0.50035E-02   -0.38350E+02
   132    0.35642E+04    0.10278E+01    0.50839E-02   -0.38782E+02
   133    0.35970E+04    0.10326E+01    0.51651E-02   -0.39202E+02
   134    0.36299E+04    0.10370E+01    0.52471E-02   -0.39606E+02
   135    0.36627E+04    0.10409E+01    0.53299E-02   -0.39997E+02
   136    0.36954E+04    0.10443E+01    0.54136E-02   -0.40370E+02
   137    0.37281E+04    0.10474E+01    0.54981E-02   -0.40730E+02
   138    0.37608E+04    0.10499E+01    0.55834E-02   -0.41073E+02
   139    0.37932E+04    0.10522E+01    0.56696E-02   -0.41399E+02
   140    0.38258E+04    0.10539E+01    0.57567E-02   -0.41709E+02
   141    0.38581E+04    0.10551E+01    0.58446E-02   -0.42001E+02
   142    0.38905E+04    0.10560E+01    0.59334E-02   -0.42275E+02
   143    0.39228E+04    0.10564E+01    0.60231E-02   -0.42532E+02
   144    0.39550E+04    0.10563E+01    0.61137E-02   -0.42771E+02
   145    0.39870E+04    0.10559E+01    0.62052E-02   -0.42991E+02
   146    0.40191E+04    0.10549E+01    0.62976E-02   -0.43193E+02
   147    0.40509E+04    0.10536E+01    0.63909E-02   -0.43374E+02
   148    0.40826E+04    0.10518E+01    0.64852E-02   -0.43537E+02
   149    0.41142E+04    0.10496E+01    0.65804E-02   -0.43679E+02
   150    0.41456E+04    0.10471E+01    0.66765E-02   -0.43799E+02
   151    0.41769E+04    0.10441E+01    0.67736E-02   -0.43900E+02
   152    0.42079E+04    0.10406E+01    0.68717E-02   -0.43980E+02
   153    0.42389E+04    0.10368E+01    0.69707E-02   -0.44037E+02
   154    0.42696E+04    0.10326E+01    0.70707E-02   -0.44073E+02
   155    0.43002E+04    0.10280E+01    0.71717E-02   -0.44087E+02
   156    0.43304E+04    0.10231E+01    0.72737E-02   -0.44080E+02
   157    0.43607E+04    0.10177E+01    0.73766E-02   -0.44050E+02
   158    0.43906E+04    0.10121E+01    0.74806E-02   -0.43997E+02
   159    0.44203E+04    0.10061E+01    0.75855E-02   -0.43921E+02
   160    0.44499E+04    0.99968E+00    0.76915E-02   -0.43821E+02
   161    0.44793E+04    0.99306E+00    0.77985E-02   -0.43699E+02
   162    0.45084E+04    0.98604E+00    0.79064E-02   -0.43554E+02
   163    0.45374E+04    0.97870E+00    0.80154E-02   -0.43385E+02
   164    0.45660E+04    0.97110E+00    0.81254E-02   -0.43193E+02
   165    0.45945E+04    0.96317E+00    0.82364E-02   -0.42976E+02
   166    0.46228E+04    0.95505E+00    0.83484E-02   -0.42735E+02
   167    0.46509E+04    0.94652E+00    0.84614E-02   -0.42472E+02
   168    0.46786E+04    0.93793E+00    0.85754E-02   -0.42183E+02
   169    0.47060E+04    0.92900E+00    0.86905E-02   -0.41869E+02
   170    0.47332E+04    0.91993E+00    0.88065E-02   -0.41532E+02
   171    0.47600E+04    0.91073E+00    0.89236E-02   -0.41168E+02
   172    0.47865E+04    0.90131E+00    0.90416E-02   -0.40780E+02
   173    0.48126E+04    0.89168E+00    0.91607E-02   -0.40368E+02
   174    0.48384E+04    0.88212E+00    0.92808E-02   -0.39930E+02
   175    0.48640E+04    0.87233E+00    0.94018E-02   -0.39468E+02
   176    0.48890E+04    0.86253E+00    0.95238E-02   -0.38980E+02
   177    0.49137E+04    0.85264E+00    0.96469E-02   -0.38467E+02
   178    0.49381E+04    0.84288E+00    0.97709E-02   -0.37930E+02
   179    0.49620E+04    0.83294E+00    0.98959E-02   -0.37366E+02
   180    0.49857E+04    0.82304E+00    0.10022E-01   -0.36779E+02
   181    0.50090E+04    0.81317E+00    0.10149E-01   -0.36167E+02
   182    0.50318E+04    0.80341E+00    0.10277E-01   -0.35529E+02
   183    0.50542E+04    0.79367E+00    0.10405E-01   -0.34866E+02
   184    0.50762E+04    0.78401E+00    0.10535E-01   -0.34178E+02
   185    0.50979E+04    0.77459E+00    0.10666E-01   -0.33467E+02
   186    0.51188E+04    0.76525E+00    0.10798E-01   -0.32730E+02
   187    0.51396E+04    0.75613E+00    0.10930E-01   -0.31967E+02
   188    0.51600E+04    0.74720E+00    0.11064E-01   -0.31181E+02
   189    0.51798E+04    0.73850E+00    0.11198E-01   -0.30371E+02
   190    0.51996E+04    0.73008E+00    0.11333E-01   -0.29537E+02
   191    0.52185E+04    0.72194E+00    0.11470E-01   -0.28677E+02
   192    0.52371E+04    0.71411E+00    0.11607E-01   -0.27794E+02
   193    0.52551E+04    0.70662E+00    0.11745E-01   -0.26888E+02
   194    0.52729E+04    0.69949E+00    0.11884E-01   -0.25958E+02
   195    0.52901E+04    0.69277E+00    0.12024E-01   -0.25004E+02
   196    0.53068E+04    0.68647E+00    0.12164E-01   -0.24028E+02
   197    0.53231E+04    0.68063E+00    0.12306E-01   -0.23029E+02
   198    0.53390E+04    0.67528E+00    0.12448E-01   -0.22008E+02
   199    0.53544E+04    0.67044E+00    0.12591E-01   -0.20964E+02
   200    0.53694E+04    0.66613E+00    0.12735E-01   -0.19899E+02
   201    0.53838E+04    0.66241E+00    0.12880E-01   -0.18812E+02
