#    L    TT             EE             TE             PP             TP          
    73    0.18350E+04    0.32479E+00   -0.61658E+01    0.63256E+07   -0.34547E+04
    74    0.18584E+04    0.33713E+00   -0.66024E+01    0.62843E+07   -0.33305E+04
    75    0.18822E+04    0.34965E+00   -0.70495E+01    0.62431E+07   -0.32069E+04
    76    0.19063E+04    0.36236E+00   -0.75063E+01    0.62019E+07   -0.30835E+04
    77    0.19306E+04    0.37524E+00   -0.79729E+01    0.61609E+07   -0.29613E+04
    78    0.19553E+04    0.38832E+00   -0.84510E+01    0.61199E+07   -0.28414E+04
    79    0.19802E+04    0.40156E+00   -0.89372E+01    0.60791E+07   -0.27250E+04
    80    0.20053E+04    0.41495E+00   -0.94330E+01    0.60385E+07   -0.26132E+04
    81    0.20306E+04    0.42844E+00   -0.99394E+01    0.59980E+07   -0.25068E+04
    82    0.20561E+04    0.44207E+00   -0.10455E+02    0.59576E+07   -0.24058E+04
    83    0.20818E+04    0.45579E+00   -0.10980E+02    0.59175E+07   -0.23098E+04
    84    0.21077E+04    0.46962E+00   -0.11513E+02    0.58776E+07   -0.22183E+04
    85    0.21337E+04    0.48352E+00   -0.12053E+02    0.58379E+07   -0.21311E+04
    86    0.21599E+04    0.49751E+00   -0.12601E+02    0.57984E+07   -0.20476E+04
    87    0.21866E+04    0.51156E+00   -0.13155E+02    0.57591E+07   -0.19674E+04
    88    0.22132E+04    0.52568E+00   -0.13715E+02    0.57201E+07   -0.18900E+04
    89    0.22402E+04    0.53987E+00   -0.14284E+02    0.56813E+07   -0.18150E+04
    90    0.22674E+04    0.55410E+00   -0.14857E+02    0.56428E+07   -0.17418E+04
    91    0.22946E+04    0.56835E+00   -0.15437E+02    0.56045E+07   -0.16701E+04
    92    0.23222E+04    0.58261E+00   -0.16021E+02    0.55664E+07   -0.15997E+04
    93    0.23501E+04    0.59688E+00   -0.16611E+02    0.55286E+07   -0.15308E+04
    94    0.23780E+04    0.61112E+00   -0.17205E+02    0.54910E+07   -0.14632E+04
    95    0.24061E+04    0.62534E+00   -0.17804E+02    0.54537E+07   -0.13972E+04
    96    0.24343E+04    0.63952E+00   -0.18406E+02    0.54167E+07   -0.13326E+04
    97    0.24629E+04    0.65365E+00   -0.19013E+02    0.53799E+07   -0.12696E+04
    98    0.24917E+04    0.66772E+00   -0.19620E+02    0.53433E+07   -0.12080E+04
    99    0.25206E+04    0.68169E+00   -0.20232E+02    0.53070E+07   -0.11481E+04
   100    0.25498E+04    0.69558E+00   -0.20844E+02    0.52710E+07   -0.10897E+04
   101    0.25791E+04    0.70943E+00   -0.21459E+02    0.52352E+07   -0.10330E+04
   102    0.26089E+04    0.72311E+00   -0.22075E+02    0.51996E+07   -0.97790E+03
   103    0.26386E+04    0.73668E+00   -0.22694E+02    0.51644E+07   -0.92447E+03
   104    0.26686E+04    0.75016E+00   -0.23311E+02    0.51293E+07   -0.87275E+03
   105    0.26987E+04    0.76346E+00   -0.23928E+02    0.50946E+07   -0.82275E+03
   106    0.27290E+04    0.77666E+00   -0.24546E+02    0.50601E+07   -0.77451E+03
   107    0.27593E+04    0.78963E+00   -0.25162E+02    0.50259E+07   -0.72804E+03
   108    0.27900E+04    0.80242E+00   -0.25778E+02    0.49919E+07   -0.68337E+03
   109    0.28208E+04    0.81497E+00   -0.26391E+02    0.49582E+07   -0.64054E+03
   110    0.28517E+04    0.82729E+00   -0.27002E+02    0.49248E+07   -0.59957E+03
   111    0.28827E+04    0.83944E+00   -0.27610E+02    0.48916E+07   -0.56046E+03
   112    0.29139E+04    0.85136E+00   -0.28216E+02    0.48587E+07   -0.52315E+03
   113    0.29454E+04    0.86304E+00   -0.28819E+02    0.48260E+07   -0.48756E+03
   114    0.29769E+04    0.87441E+00   -0.29416E+02    0.47937E+07   -0.45361E+03
   115    0.30087E+04    0.88561E+00   -0.30009E+02    0.47615E+07   -0.42121E+03
   116    0.30404E+04    0.89643E+00   -0.30596E+02    0.47297E+07   -0.39029E+03
   117    0.30725E+04    0.90694E+00   -0.31177E+02    0.46981E+07   -0.36076E+03
   118    0.31047E+04    0.91728E+00   -0.31753E+02    0.46668E+07   -0.33254E+03
   119    0.31370E+04    0.92732E+00   -0.32321E+02    0.46357E+07   -0.30555E+03
   120    0.31694E+04    0.93689E+00   -0.32882E+02    0.46049E+07   -0.27970E+03
   121    0.32018E+04    0.94631E+00   -0.33435E+02    0.45743E+07   -0.25492E+03
   122    0.32343E+04    0.95526E+00   -0.33980E+02    0.45440E+07   -0.23111E+03
   123    0.32669E+04    0.96382E+00   -0.34516E+02    0.45139E+07   -0.20821E+03
   124    0.32995E+04    0.97208E+00   -0.35042E+02    0.44841E+07   -0.18612E+03
   125    0.33322E+04    0.97995E+00   -0.35558E+02    0.44546E+07   -0.16477E+03
   126    0.33649E+04    0.98751E+00   -0.36064E+02    0.44253E+07   -0.14407E+03
   127    0.33977E+04    0.99460E+00   -0.36560E+02    0.43962E+07   -0.12395E+03
   128    0.34304E+04    0.10014E+01   -0.37045E+02    0.43674E+07   -0.10431E+03
   129    0.34633E+04    0.10077E+01   -0.37518E+02    0.43388E+07   -0.85080E+02
   130    0.34961E+04    0.10136E+01   -0.37979E+02    0.43105E+07   -0.66174E+02
   131    0.35289E+04    0.10191E+01   -0.38428E+02    0.42824E+07   -0.47528E+02
   132    0.35619E+04    0.10242E+01   -0.38863E+02    0.42546E+07   -0.29138E+02
   133    0.35947E+04    0.10289E+01   -0.39286E+02    0.42270E+07   -0.11019E+02
   134    0.36276E+04    0.10332E+01   -0.39693E+02    0.41996E+07    0.68152E+01
   135    0.36605E+04    0.10371E+01   -0.40087E+02    0.41725E+07    0.24351E+02
   136    0.36932E+04    0.10405E+01   -0.40464E+02    0.41456E+07    0.41574E+02
   137    0.37260E+04    0.10434E+01   -0.40826E+02    0.41190E+07    0.58470E+02
   138    0.37587E+04    0.10459E+01   -0.41172E+02    0.40925E+07    0.75026E+02
   139    0.37912E+04    0.10481E+01   -0.41502E+02    0.40663E+07    0.91228E+02
   140    0.38238E+04    0.10497E+01   -0.41815E+02    0.40404E+07    0.10706E+03
   141    0.38562E+04    0.10509E+01   -0.42110E+02    0.40146E+07    0.12251E+03
   142    0.38886E+04    0.10516E+01   -0.42388E+02    0.39891E+07    0.13757E+03
   143    0.39210E+04    0.10519E+01   -0.42648E+02    0.39638E+07    0.15221E+03
   144    0.39532E+04    0.10517E+01   -0.42891E+02    0.39387E+07    0.16643E+03
   145    0.39853E+04    0.10512E+01   -0.43114E+02    0.39138E+07    0.18022E+03
   146    0.40175E+04    0.10502E+01   -0.43319E+02    0.38892E+07    0.19355E+03
   147    0.40494E+04    0.10488E+01   -0.43504E+02    0.38647E+07    0.20641E+03
   148    0.40811E+04    0.10468E+01   -0.43670E+02    0.38405E+07    0.21880E+03
   149    0.41128E+04    0.10445E+01   -0.43816E+02    0.38165E+07    0.23069E+03
   150    0.41443E+04    0.10418E+01   -0.43940E+02    0.37927E+07    0.24208E+03
   151    0.41757E+04    0.10387E+01   -0.44044E+02    0.37690E+07    0.25295E+03
   152    0.42068E+04    0.10351E+01   -0.44127E+02    0.37456E+07    0.26331E+03
   153    0.42378E+04    0.10311E+01   -0.44188E+02    0.37224E+07    0.27319E+03
   154    0.42687E+04    0.10268E+01   -0.44227E+02    0.36994E+07    0.28259E+03
   155    0.42993E+04    0.10220E+01   -0.44245E+02    0.36766E+07    0.29155E+03
   156    0.43297E+04    0.10170E+01   -0.44241E+02    0.36540E+07    0.30006E+03
   157    0.43600E+04    0.10115E+01   -0.44214E+02    0.36316E+07    0.30816E+03
   158    0.43901E+04    0.10057E+01   -0.44165E+02    0.36093E+07    0.31586E+03
   159    0.44199E+04    0.99947E+00   -0.44092E+02    0.35873E+07    0.32317E+03
   160    0.44495E+04    0.99291E+00   -0.43996E+02    0.35655E+07    0.33011E+03
   161    0.44790E+04    0.98611E+00   -0.43877E+02    0.35438E+07    0.33671E+03
   162    0.45082E+04    0.97890E+00   -0.43735E+02    0.35224E+07    0.34296E+03
   163    0.45374E+04    0.97136E+00   -0.43569E+02    0.35011E+07    0.34891E+03
   164    0.45661E+04    0.96357E+00   -0.43380E+02    0.34800E+07    0.35455E+03
   165    0.45947E+04    0.95543E+00   -0.43166E+02    0.34591E+07    0.35991E+03
   166    0.46231E+04    0.94710E+00   -0.42929E+02    0.34384E+07    0.36500E+03
   167    0.46513E+04    0.93834E+00   -0.42669E+02    0.34178E+07    0.36985E+03
   168    0.46792E+04    0.92953E+00   -0.42383E+02    0.33975E+07    0.37446E+03
   169    0.47067E+04    0.92036E+00   -0.42072E+02    0.33773E+07    0.37886E+03
   170    0.47341E+04    0.91106E+00   -0.41737E+02    0.33573E+07    0.38307E+03
   171    0.47610E+04    0.90161E+00   -0.41377E+02    0.33374E+07    0.38709E+03
   172    0.47876E+04    0.89194E+00   -0.40991E+02    0.33178E+07    0.39095E+03
   173    0.48138E+04    0.88204E+00   -0.40581E+02    0.32983E+07    0.39466E+03
   174    0.48398E+04    0.87222E+00   -0.40147E+02    0.32790E+07    0.39825E+03
   175    0.48655E+04    0.86215E+00   -0.39686E+02    0.32598E+07    0.40172E+03
   176    0.48907E+04    0.85207E+00   -0.39201E+02    0.32408E+07    0.40510E+03
