#    L    TT             EE             BB             TE          
    90    0.13311E+03    0.87343E-01    0.61458E-01   -0.26178E+01
    91    0.12949E+03    0.87903E-01    0.61455E-01   -0.25996E+01
    92    0.12592E+03    0.88430E-01    0.61424E-01   -0.25801E+01
    93    0.12239E+03    0.88922E-01    0.61366E-01   -0.25591E+01
    94    0.11892E+03    0.89381E-01    0.61281E-01   -0.25368E+01
    95    0.11549E+03    0.89806E-01    0.61170E-01   -0.25133E+01
    96    0.11210E+03    0.90197E-01    0.61034E-01   -0.24884E+01
    97    0.10877E+03    0.90555E-01    0.60872E-01   -0.24624E+01
    98    0.10549E+03    0.90880E-01    0.60685E-01   -0.24353E+01
    99    0.10227E+03    0.91172E-01    0.60474E-01   -0.24070E+01
   100    0.99088E+02    0.91430E-01    0.60240E-01   -0.23777E+01
   101    0.95964E+02    0.91655E-01    0.59982E-01   -0.23474E+01
   102    0.92893E+02    0.91847E-01    0.59702E-01   -0.23161E+01
   103    0.89877E+02    0.92005E-01    0.59399E-01   -0.22840E+01
   104    0.86915E+02    0.92131E-01    0.59075E-01   -0.22509E+01
   105    0.84009E+02    0.92224E-01    0.58730E-01   -0.22170E+01
   106    0.81159E+02    0.92284E-01    0.58365E-01   -0.21824E+01
   107    0.78367E+02    0.92311E-01    0.57979E-01   -0.21470E+01
   108    0.75632E+02    0.92306E-01    0.57573E-01   -0.21110E+01
   109    0.72956E+02    0.92268E-01    0.57149E-01   -0.20743E+01
   110    0.70338E+02    0.92197E-01    0.56706E-01   -0.20370E+01
   111    0.67781E+02    0.92094E-01    0.56245E-01   -0.19992E+01
   112    0.65283E+02    0.91959E-01    0.55767E-01   -0.19609E+01
   113    0.62845E+02    0.91792E-01    0.55272E-01   -0.19221E+01
   114    0.60465E+02    0.91593E-01    0.54762E-01   -0.18829E+01
   115    0.58144E+02    0.91363E-01    0.54236E-01   -0.18433E+01
   116    0.55881E+02    0.91102E-01    0.53696E-01   -0.18034E+01
   117    0.53676E+02    0.90811E-01    0.53141E-01   -0.17632E+01
   118    0.51528E+02    0.90490E-01    0.52574E-01   -0.17227E+01
   119    0.49438E+02    0.90139E-01    0.51994E-01   -0.16820E+01
   120    0.47404E+02    0.89759E-01    0.51403E-01   -0.16410E+01
   121    0.45427E+02    0.89349E-01    0.50800E-01   -0.16000E+01
   122    0.43505E+02    0.88911E-01    0.50187E-01   -0.15588E+01
   123    0.41640E+02    0.88444E-01    0.49564E-01   -0.15175E+01
   124    0.39829E+02    0.87949E-01    0.48933E-01   -0.14762E+01
   125    0.38074E+02    0.87427E-01    0.48293E-01   -0.14349E+01
   126    0.36373E+02    0.86877E-01    0.47646E-01   -0.13936E+01
   127    0.34727E+02    0.86300E-01    0.46991E-01   -0.13525E+01
   128    0.33134E+02    0.85696E-01    0.46331E-01   -0.13114E+01
   129    0.31595E+02    0.85066E-01    0.45665E-01   -0.12705E+01
   130    0.30109E+02    0.84409E-01    0.44994E-01   -0.12298E+01
   131    0.28676E+02    0.83727E-01    0.44319E-01   -0.11893E+01
   132    0.27295E+02    0.83021E-01    0.43641E-01   -0.11491E+01
   133    0.25965E+02    0.82290E-01    0.42959E-01   -0.11092E+01
   134    0.24685E+02    0.81537E-01    0.42276E-01   -0.10695E+01
   135    0.23454E+02    0.80762E-01    0.41590E-01   -0.10303E+01
   136    0.22272E+02    0.79965E-01    0.40903E-01   -0.99133E+00
   137    0.21137E+02    0.79149E-01    0.40215E-01   -0.95278E+00
   138    0.20048E+02    0.78313E-01    0.39528E-01   -0.91465E+00
   139    0.19005E+02    0.77459E-01    0.38840E-01   -0.87696E+00
   140    0.18006E+02    0.76588E-01    0.38154E-01   -0.83972E+00
   141    0.17051E+02    0.75701E-01    0.37469E-01   -0.80298E+00
   142    0.16139E+02    0.74798E-01    0.36786E-01   -0.76674E+00
   143    0.15269E+02    0.73881E-01    0.36106E-01   -0.73105E+00
   144    0.14440E+02    0.72950E-01    0.35430E-01   -0.69592E+00
   145    0.13651E+02    0.72007E-01    0.34757E-01   -0.66137E+00
   146    0.12902E+02    0.71052E-01    0.34088E-01   -0.62744E+00
   147    0.12190E+02    0.70086E-01    0.33425E-01   -0.59415E+00
   148    0.11516E+02    0.69111E-01    0.32767E-01   -0.56152E+00
   149    0.10878E+02    0.68127E-01    0.32115E-01   -0.52959E+00
   150    0.10276E+02    0.67135E-01    0.31469E-01   -0.49837E+00
   151    0.97082E+01    0.66135E-01    0.30831E-01   -0.46788E+00
   152    0.91743E+01    0.65130E-01    0.30200E-01   -0.43814E+00
   153    0.86732E+01    0.64119E-01    0.29577E-01   -0.40914E+00
   154    0.82039E+01    0.63103E-01    0.28962E-01   -0.38088E+00
   155    0.77655E+01    0.62083E-01    0.28355E-01   -0.35337E+00
   156    0.73572E+01    0.61060E-01    0.27756E-01   -0.32661E+00
   157    0.69780E+01    0.60033E-01    0.27166E-01   -0.30060E+00
   158    0.66270E+01    0.59005E-01    0.26585E-01   -0.27534E+00
   159    0.63033E+01    0.57975E-01    0.26013E-01   -0.25083E+00
   160    0.60059E+01    0.56945E-01    0.25450E-01   -0.22707E+00
   161    0.57340E+01    0.55914E-01    0.24896E-01   -0.20407E+00
   162    0.54866E+01    0.54884E-01    0.24353E-01   -0.18182E+00
   163    0.52628E+01    0.53855E-01    0.23819E-01   -0.16034E+00
