#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14579E+04    0.14345E+00    0.00000E+00   -0.39166E+00    0.12647E-06    0.77803E-03   -0.75339E-06
    55    0.14783E+04    0.15212E+00    0.00000E+00   -0.62772E+00    0.12586E-06    0.76239E-03   -0.74519E-06
    56    0.14990E+04    0.16104E+00    0.00000E+00   -0.87606E+00    0.12524E-06    0.74767E-03   -0.72204E-06
    57    0.15200E+04    0.17009E+00    0.00000E+00   -0.11365E+01    0.12461E-06    0.73376E-03   -0.68771E-06
    58    0.15413E+04    0.17929E+00    0.00000E+00   -0.14097E+01    0.12396E-06    0.72052E-03   -0.64625E-06
    59    0.15627E+04    0.18868E+00    0.00000E+00   -0.16963E+01    0.12331E-06    0.70778E-03   -0.60171E-06
    60    0.15844E+04    0.19832E+00    0.00000E+00   -0.19955E+01    0.12265E-06    0.69542E-03   -0.55814E-06
    61    0.16064E+04    0.20830E+00    0.00000E+00   -0.23063E+01    0.12199E-06    0.68329E-03   -0.51897E-06
    62    0.16284E+04    0.21861E+00    0.00000E+00   -0.26297E+01    0.12132E-06    0.67135E-03   -0.48521E-06
    63    0.16505E+04    0.22920E+00    0.00000E+00   -0.29669E+01    0.12064E-06    0.65955E-03   -0.45726E-06
    64    0.16729E+04    0.24009E+00    0.00000E+00   -0.33189E+01    0.11995E-06    0.64786E-03   -0.43550E-06
    65    0.16955E+04    0.25125E+00    0.00000E+00   -0.36867E+01    0.11927E-06    0.63624E-03   -0.42033E-06
    66    0.17183E+04    0.26260E+00    0.00000E+00   -0.40683E+01    0.11858E-06    0.62469E-03   -0.41250E-06
    67    0.17413E+04    0.27416E+00    0.00000E+00   -0.44609E+01    0.11789E-06    0.61329E-03   -0.41417E-06
    68    0.17647E+04    0.28596E+00    0.00000E+00   -0.48627E+01    0.11719E-06    0.60214E-03   -0.42781E-06
    69    0.17883E+04    0.29796E+00    0.00000E+00   -0.52719E+01    0.11650E-06    0.59135E-03   -0.45592E-06
    70    0.18122E+04    0.31020E+00    0.00000E+00   -0.56900E+01    0.11580E-06    0.58103E-03   -0.50098E-06
    71    0.18363E+04    0.32268E+00    0.00000E+00   -0.61194E+01    0.11510E-06    0.57126E-03   -0.56312E-06
    72    0.18605E+04    0.33536E+00    0.00000E+00   -0.65614E+01    0.11441E-06    0.56199E-03   -0.63293E-06
    73    0.18849E+04    0.34822E+00    0.00000E+00   -0.70168E+01    0.11371E-06    0.55315E-03   -0.69865E-06
    74    0.19094E+04    0.36123E+00    0.00000E+00   -0.74847E+01    0.11301E-06    0.54467E-03   -0.74853E-06
