#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    42    0.12082E+04    0.15525E+01   -0.21421E-04    0.15525E+01    0.58700E-01   -0.10798E-07   -0.21421E-04   -0.10798E-07    0.94215E-10
    43    0.12255E+04    0.14771E+01   -0.20022E-04    0.14771E+01    0.63520E-01   -0.10574E-07   -0.20022E-04   -0.10574E-07    0.89415E-10
    44    0.12428E+04    0.13909E+01   -0.18732E-04    0.13909E+01    0.68581E-01   -0.10861E-07   -0.18732E-04   -0.10861E-07    0.84944E-10
    45    0.12605E+04    0.12931E+01   -0.17512E-04    0.12931E+01    0.73878E-01   -0.11005E-07   -0.17512E-04   -0.11005E-07    0.80770E-10
    46    0.12784E+04    0.11813E+01   -0.16331E-04    0.11813E+01    0.79407E-01   -0.10521E-07   -0.16331E-04   -0.10521E-07    0.76864E-10
    47    0.12964E+04    0.10567E+01   -0.15198E-04    0.10567E+01    0.85170E-01   -0.96257E-08   -0.15198E-04   -0.96257E-08    0.73207E-10
    48    0.13144E+04    0.92380E+00   -0.14132E-04    0.92380E+00    0.91176E-01   -0.87111E-08   -0.14132E-04   -0.87111E-08    0.69781E-10
    49    0.13327E+04    0.78649E+00   -0.13148E-04    0.78649E+00    0.97411E-01   -0.81679E-08   -0.13148E-04   -0.81679E-08    0.66569E-10
    50    0.13514E+04    0.64195E+00   -0.12267E-04    0.64195E+00    0.10385E+00   -0.83871E-08   -0.12267E-04   -0.83871E-08    0.63552E-10
    51    0.13703E+04    0.48586E+00   -0.11498E-04    0.48586E+00    0.11048E+00   -0.96144E-08   -0.11498E-04   -0.96144E-08    0.60715E-10
    52    0.13897E+04    0.31355E+00   -0.10823E-04    0.31355E+00    0.11738E+00   -0.11514E-07   -0.10823E-04   -0.11514E-07    0.58044E-10
    53    0.14091E+04    0.12210E+00   -0.10217E-04    0.12210E+00    0.12468E+00   -0.13604E-07   -0.10217E-04   -0.13604E-07    0.55529E-10
    54    0.14284E+04   -0.83425E-01   -0.96541E-05   -0.83425E-01    0.13239E+00   -0.15403E-07   -0.96541E-05   -0.15403E-07    0.53159E-10
    55    0.14478E+04   -0.29784E+00   -0.91092E-05   -0.29784E+00    0.14048E+00   -0.16430E-07   -0.91092E-05   -0.16430E-07    0.50921E-10
    56    0.14675E+04   -0.52231E+00   -0.85629E-05   -0.52231E+00    0.14881E+00   -0.16346E-07   -0.85629E-05   -0.16346E-07    0.48806E-10
