#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.175947E-03   0.203576E+08   0.203574E+08   0.230088E+08   0.228909E+08   0.000000E+00   0.203576E+08   0.203576E+08   0.203647E+08  -0.457779E+00   0.993377E+07   0.993371E+07   0.108585E+03
   0.194281E-03   0.203557E+08   0.203554E+08   0.221812E+08   0.220416E+08   0.000000E+00   0.203556E+08   0.203556E+08   0.203625E+08  -0.457723E+00   0.993278E+07   0.993271E+07   0.118786E+03
   0.214525E-03   0.203532E+08   0.203529E+08   0.212094E+08   0.210449E+08   0.000000E+00   0.203532E+08   0.203532E+08   0.203598E+08  -0.457655E+00   0.993158E+07   0.993149E+07   0.129686E+03
   0.236878E-03   0.203503E+08   0.203500E+08   0.200778E+08   0.198856E+08   0.000000E+00   0.203503E+08   0.203503E+08   0.203565E+08  -0.457573E+00   0.993012E+07   0.993002E+07   0.141247E+03
   0.261561E-03   0.203468E+08   0.203463E+08   0.187738E+08   0.185515E+08   0.000000E+00   0.203467E+08   0.203467E+08   0.203525E+08  -0.457475E+00   0.992835E+07   0.992823E+07   0.153393E+03
   0.288815E-03   0.203425E+08   0.203420E+08   0.172906E+08   0.170363E+08   0.000000E+00   0.203424E+08   0.203424E+08   0.203478E+08  -0.457357E+00   0.992622E+07   0.992608E+07   0.166007E+03
   0.318910E-03   0.203373E+08   0.203367E+08   0.156302E+08   0.153437E+08   0.000000E+00   0.203372E+08   0.203372E+08   0.203420E+08  -0.457216E+00   0.992364E+07   0.992347E+07   0.178914E+03
   0.352140E-03   0.203311E+08   0.203303E+08   0.138085E+08   0.134915E+08   0.000000E+00   0.203310E+08   0.203310E+08   0.203352E+08  -0.457048E+00   0.992054E+07   0.992034E+07   0.191875E+03
   0.388833E-03   0.203236E+08   0.203227E+08   0.118594E+08   0.115165E+08   0.000000E+00   0.203235E+08   0.203235E+08   0.203271E+08  -0.456848E+00   0.991681E+07   0.991658E+07   0.204579E+03
   0.429349E-03   0.203147E+08   0.203136E+08   0.983903E+07   0.947859E+07   0.000000E+00   0.203145E+08   0.203145E+08   0.203175E+08  -0.456613E+00   0.991234E+07   0.991207E+07   0.216635E+03
   0.474087E-03   0.203040E+08   0.203027E+08   0.782794E+07   0.746254E+07   0.000000E+00   0.203038E+08   0.203038E+08   0.203061E+08  -0.456337E+00   0.990701E+07   0.990668E+07   0.227583E+03
   0.523487E-03   0.202912E+08   0.202897E+08   0.592796E+07   0.557429E+07   0.000000E+00   0.202910E+08   0.202910E+08   0.202928E+08  -0.456015E+00   0.990065E+07   0.990028E+07   0.236908E+03
   0.578034E-03   0.202761E+08   0.202743E+08   0.425181E+07   0.392939E+07   0.000000E+00   0.202758E+08   0.202758E+08   0.202771E+08  -0.455640E+00   0.989312E+07   0.989270E+07   0.244077E+03
   0.638266E-03   0.202582E+08   0.202562E+08   0.290246E+07   0.263088E+07   0.000000E+00   0.202579E+08   0.202579E+08   0.202588E+08  -0.455205E+00   0.988424E+07   0.988376E+07   0.248586E+03
   0.704773E-03   0.202372E+08   0.202349E+08   0.194368E+07   0.173805E+07   0.000000E+00   0.202368E+08   0.202368E+08   0.202374E+08  -0.454705E+00   0.987380E+07   0.987328E+07   0.250031E+03
   0.778210E-03   0.202127E+08   0.202100E+08   0.136900E+07   0.123463E+07   0.000000E+00   0.202122E+08   0.202122E+08   0.202126E+08  -0.454129E+00   0.986161E+07   0.986103E+07   0.248172E+03
   0.859299E-03   0.201840E+08   0.201810E+08   0.108613E+07   0.101433E+07   0.000000E+00   0.201835E+08   0.201835E+08   0.201838E+08  -0.453468E+00   0.984743E+07   0.984680E+07   0.242974E+03
   0.948838E-03   0.201507E+08   0.201474E+08   0.938496E+06   0.906748E+06   0.000000E+00   0.201502E+08   0.201502E+08   0.201504E+08  -0.452707E+00   0.983101E+07   0.983034E+07   0.234613E+03
   0.104771E-02   0.201122E+08   0.201087E+08   0.774939E+06   0.754108E+06   0.000000E+00   0.201116E+08   0.201116E+08   0.201118E+08  -0.451833E+00   0.981206E+07   0.981136E+07   0.223427E+03
   0.115688E-02   0.200678E+08   0.200640E+08   0.540130E+06   0.507270E+06   0.000000E+00   0.200672E+08   0.200672E+08   0.200673E+08  -0.450828E+00   0.979027E+07   0.978954E+07   0.209841E+03
   0.127742E-02   0.200168E+08   0.200128E+08   0.308613E+06   0.257802E+06   0.000000E+00   0.200161E+08   0.200161E+08   0.200162E+08  -0.449675E+00   0.976526E+07   0.976452E+07   0.194336E+03
   0.141053E-02   0.199583E+08   0.199542E+08   0.191336E+06   0.132563E+06   0.000000E+00   0.199576E+08   0.199576E+08   0.199577E+08  -0.448356E+00   0.973664E+07   0.973589E+07   0.177496E+03
   0.155751E-02   0.198915E+08   0.198873E+08   0.178034E+06  -0.276897E+06   0.000000E+00   0.198908E+08   0.198908E+08   0.198908E+08  -0.446849E+00   0.970400E+07   0.970325E+07   0.160089E+03
   0.171980E-02   0.198154E+08   0.198112E+08   0.138601E+06  -0.226218E+06   0.000000E+00   0.198147E+08   0.198147E+08   0.198147E+08  -0.445136E+00   0.966680E+07   0.966606E+07   0.143014E+03
   0.189900E-02   0.197289E+08   0.197247E+08   0.453931E+05  -0.184716E+06   0.000000E+00   0.197282E+08   0.197282E+08   0.197282E+08  -0.443191E+00   0.962455E+07   0.962382E+07   0.127098E+03
   0.209688E-02   0.196309E+08   0.196267E+08   0.188077E+05  -0.150738E+06   0.000000E+00   0.196302E+08   0.196302E+08   0.196302E+08  -0.440988E+00   0.957670E+07   0.957599E+07   0.112931E+03
   0.231537E-02   0.195202E+08   0.195160E+08   0.348018E+05  -0.122929E+06   0.000000E+00   0.195195E+08   0.195195E+08   0.195195E+08  -0.438501E+00   0.952267E+07   0.952197E+07   0.100842E+03
   0.255663E-02   0.193956E+08   0.193913E+08  -0.230584E+03  -0.100176E+06   0.000000E+00   0.193949E+08   0.193949E+08   0.193949E+08  -0.435700E+00   0.946184E+07   0.946114E+07   0.907997E+02
   0.282303E-02   0.192558E+08   0.192513E+08   0.115982E+04  -0.815665E+05   0.000000E+00   0.192550E+08   0.192550E+08   0.192550E+08  -0.432556E+00   0.939356E+07   0.939286E+07   0.823289E+02
   0.311719E-02   0.190993E+08   0.190945E+08  -0.707412E+04  -0.663532E+05   0.000000E+00   0.190985E+08   0.190985E+08   0.190985E+08  -0.429039E+00   0.931718E+07   0.931648E+07   0.747882E+02
   0.344200E-02   0.189248E+08   0.189198E+08  -0.110508E+05  -0.539226E+05   0.000000E+00   0.189239E+08   0.189239E+08   0.189239E+08  -0.425117E+00   0.923201E+07   0.923131E+07   0.676523E+02
   0.380066E-02   0.187308E+08   0.187256E+08  -0.176087E+05  -0.437718E+05   0.000000E+00   0.187300E+08   0.187300E+08   0.187299E+08  -0.420759E+00   0.913736E+07   0.913667E+07   0.608014E+02
   0.419669E-02   0.185160E+08   0.185104E+08  -0.749288E+04  -0.354881E+05   0.000000E+00   0.185151E+08   0.185151E+08   0.185151E+08  -0.415932E+00   0.903252E+07   0.903184E+07   0.544878E+02
   0.463398E-02   0.182789E+08   0.182729E+08  -0.866247E+04  -0.287331E+05   0.000000E+00   0.182778E+08   0.182778E+08   0.182778E+08  -0.410602E+00   0.891678E+07   0.891610E+07   0.489720E+02
   0.511684E-02   0.180179E+08   0.180114E+08  -0.106977E+05  -0.232293E+05   0.000000E+00   0.180168E+08   0.180168E+08   0.180168E+08  -0.404737E+00   0.878942E+07   0.878874E+07   0.441686E+02
   0.565001E-02   0.177317E+08   0.177245E+08  -0.761171E+04  -0.187491E+05   0.000000E+00   0.177305E+08   0.177305E+08   0.177305E+08  -0.398305E+00   0.864973E+07   0.864906E+07   0.397803E+02
   0.623874E-02   0.174188E+08   0.174109E+08  -0.725420E+04  -0.151059E+05   0.000000E+00   0.174174E+08   0.174174E+08   0.174174E+08  -0.391273E+00   0.849702E+07   0.849635E+07   0.357235E+02
   0.688882E-02   0.170777E+08   0.170690E+08  -0.578516E+04  -0.121467E+05   0.000000E+00   0.170763E+08   0.170763E+08   0.170763E+08  -0.383609E+00   0.833058E+07   0.832992E+07   0.321307E+02
   0.760663E-02   0.167072E+08   0.166974E+08  -0.575513E+04  -0.974609E+04   0.000000E+00   0.167056E+08   0.167056E+08   0.167056E+08  -0.375281E+00   0.814973E+07   0.814907E+07   0.289494E+02
   0.839924E-02   0.163058E+08   0.162947E+08  -0.465544E+04  -0.780127E+04   0.000000E+00   0.163039E+08   0.163039E+08   0.163039E+08  -0.366258E+00   0.795379E+07   0.795314E+07   0.260615E+02
   0.927444E-02   0.158721E+08   0.158595E+08  -0.353450E+04  -0.622808E+04   0.000000E+00   0.158700E+08   0.158700E+08   0.158700E+08  -0.356510E+00   0.774210E+07   0.774144E+07   0.234966E+02
   0.102408E-01   0.154048E+08   0.153905E+08  -0.323737E+04  -0.495760E+04   0.000000E+00   0.154024E+08   0.154024E+08   0.154024E+08  -0.346006E+00   0.751399E+07   0.751334E+07   0.212091E+02
   0.113079E-01   0.149027E+08   0.148863E+08  -0.274637E+04  -0.393343E+04   0.000000E+00   0.148999E+08   0.148999E+08   0.148999E+08  -0.334718E+00   0.726885E+07   0.726820E+07   0.191697E+02
   0.124862E-01   0.143645E+08   0.143458E+08  -0.204988E+04  -0.310949E+04   0.000000E+00   0.143614E+08   0.143614E+08   0.143614E+08  -0.322620E+00   0.700613E+07   0.700548E+07   0.173562E+02
   0.137873E-01   0.137894E+08   0.137680E+08  -0.184489E+04  -0.244812E+04   0.000000E+00   0.137858E+08   0.137858E+08   0.137858E+08  -0.309691E+00   0.672537E+07   0.672472E+07   0.157416E+02
   0.152239E-01   0.131770E+08   0.131525E+08  -0.144204E+04  -0.191861E+04   0.000000E+00   0.131729E+08   0.131729E+08   0.131729E+08  -0.295921E+00   0.642633E+07   0.642568E+07   0.142996E+02
   0.168102E-01   0.125475E+08   0.125196E+08  -0.110142E+04  -0.149834E+04   0.000000E+00   0.125429E+08   0.125429E+08   0.125429E+08  -0.281768E+00   0.611899E+07   0.611833E+07   0.130208E+02
   0.185618E-01   0.118650E+08   0.118334E+08  -0.947041E+03  -0.116196E+04   0.000000E+00   0.118597E+08   0.118597E+08   0.118597E+08  -0.266420E+00   0.578570E+07   0.578504E+07   0.118506E+02
   0.204960E-01   0.111495E+08   0.111140E+08  -0.594540E+03  -0.895469E+03   0.000000E+00   0.111435E+08   0.111435E+08   0.111435E+08  -0.250332E+00   0.543634E+07   0.543568E+07   0.107769E+02
   0.226317E-01   0.103916E+08   0.103523E+08  -0.545970E+03  -0.684453E+03   0.000000E+00   0.103850E+08   0.103850E+08   0.103850E+08  -0.233293E+00   0.506630E+07   0.506564E+07   0.976644E+01
   0.249899E-01   0.962570E+07   0.958286E+07  -0.408794E+03  -0.519941E+03   0.000000E+00   0.961851E+07   0.961851E+07   0.961851E+07  -0.216074E+00   0.469238E+07   0.469172E+07   0.880758E+01
   0.275938E-01   0.885919E+07   0.881332E+07  -0.296813E+03  -0.392439E+03   0.000000E+00   0.885149E+07   0.885149E+07   0.885149E+07  -0.198843E+00   0.431820E+07   0.431755E+07   0.787461E+01
   0.304691E-01   0.809162E+07   0.804371E+07  -0.243207E+03  -0.293947E+03   0.000000E+00   0.808358E+07   0.808358E+07   0.808358E+07  -0.181593E+00   0.394358E+07   0.394295E+07   0.694197E+01
   0.336440E-01   0.734531E+07   0.729679E+07  -0.164631E+03  -0.218827E+03   0.000000E+00   0.733716E+07   0.733716E+07   0.733716E+07  -0.164825E+00   0.357945E+07   0.357884E+07   0.600035E+01
   0.371497E-01   0.664837E+07   0.660111E+07  -0.130287E+03  -0.162434E+03   0.000000E+00   0.664043E+07   0.664043E+07   0.664043E+07  -0.149173E+00   0.323955E+07   0.323899E+07   0.505260E+01
   0.410206E-01   0.601754E+07   0.597368E+07  -0.117206E+03  -0.120579E+03   0.000000E+00   0.601018E+07   0.601018E+07   0.601018E+07  -0.135015E+00   0.293208E+07   0.293157E+07   0.411249E+01
   0.451227E-01   0.548511E+07   0.544651E+07   0.630532E+02  -0.908379E+02   0.000000E+00   0.547863E+07   0.547863E+07   0.547863E+07  -0.123074E+00   0.267275E+07   0.267232E+07   0.324517E+01
   0.492248E-01   0.507079E+07   0.503831E+07   0.489878E+02  -0.705700E+02   0.000000E+00   0.506534E+07   0.506534E+07   0.506534E+07  -0.113790E+00   0.247112E+07   0.247075E+07   0.252165E+01
   0.533268E-01   0.473841E+07   0.471204E+07   0.390128E+02  -0.561962E+02   0.000000E+00   0.473398E+07   0.473398E+07   0.473398E+07  -0.106346E+00   0.230947E+07   0.230916E+07   0.194560E+01
   0.574289E-01   0.445919E+07   0.443818E+07   0.316625E+02  -0.456053E+02   0.000000E+00   0.445566E+07   0.445566E+07   0.445566E+07  -0.100094E+00   0.217368E+07   0.217342E+07   0.151279E+01
   0.615310E-01   0.420947E+07   0.419257E+07   0.260411E+02  -0.375065E+02   0.000000E+00   0.420663E+07   0.420663E+07   0.420663E+07  -0.944995E-01   0.205219E+07   0.205197E+07   0.120954E+01
   0.656330E-01   0.397305E+07   0.395877E+07   0.216042E+02  -0.311153E+02   0.000000E+00   0.397065E+07   0.397065E+07   0.397065E+07  -0.891983E-01   0.193707E+07   0.193687E+07   0.101483E+01
   0.697351E-01   0.373987E+07   0.372675E+07   0.180143E+02  -0.259451E+02   0.000000E+00   0.373767E+07   0.373767E+07   0.373767E+07  -0.839645E-01   0.182341E+07   0.182322E+07   0.902943E+00
   0.738371E-01   0.351264E+07   0.349947E+07   0.150911E+02  -0.217355E+02   0.000000E+00   0.351043E+07   0.351043E+07   0.351043E+07  -0.788597E-01   0.171255E+07   0.171236E+07   0.847966E+00
   0.779392E-01   0.328074E+07   0.326671E+07   0.126486E+02  -0.182185E+02   0.000000E+00   0.327838E+07   0.327838E+07   0.327838E+07  -0.736469E-01   0.159935E+07   0.159916E+07   0.822426E+00
   0.820413E-01   0.305601E+07   0.304078E+07   0.106316E+02  -0.153143E+02   0.000000E+00   0.305345E+07   0.305345E+07   0.305345E+07  -0.685939E-01   0.148962E+07   0.148942E+07   0.806764E+00
   0.861433E-01   0.284540E+07   0.282906E+07   0.897707E+01  -0.129318E+02   0.000000E+00   0.284266E+07   0.284266E+07   0.284266E+07  -0.638586E-01   0.138679E+07   0.138659E+07   0.786171E+00
   0.912552E-01   0.261217E+07   0.259507E+07   0.734246E+01  -0.105777E+02   0.000000E+00   0.260930E+07   0.260930E+07   0.260930E+07  -0.586163E-01   0.127295E+07   0.127275E+07   0.741337E+00
   0.963671E-01   0.241888E+07   0.240204E+07   0.609640E+01  -0.878282E+01   0.000000E+00   0.241605E+07   0.241605E+07   0.241605E+07  -0.542752E-01   0.117867E+07   0.117848E+07   0.672155E+00
   0.101479E+00   0.226693E+07   0.225134E+07   0.515245E+01  -0.742278E+01   0.000000E+00   0.226431E+07   0.226431E+07   0.226431E+07  -0.508663E-01   0.110464E+07   0.110447E+07   0.584946E+00
   0.106591E+00   0.215009E+07   0.213647E+07   0.442997E+01  -0.638163E+01   0.000000E+00   0.214780E+07   0.214780E+07   0.214780E+07  -0.482490E-01   0.104780E+07   0.104765E+07   0.491455E+00
   0.111703E+00   0.205725E+07   0.204586E+07   0.386034E+01  -0.556065E+01   0.000000E+00   0.205533E+07   0.205533E+07   0.205533E+07  -0.461719E-01   0.100269E+07   0.100256E+07   0.404193E+00
   0.116815E+00   0.197629E+07   0.196694E+07   0.339160E+01  -0.488513E+01   0.000000E+00   0.197472E+07   0.197472E+07   0.197472E+07  -0.443610E-01   0.963364E+06   0.963248E+06   0.332840E+00
   0.121927E+00   0.189697E+07   0.188911E+07   0.298860E+01  -0.430448E+01   0.000000E+00   0.189565E+07   0.189565E+07   0.189565E+07  -0.425846E-01   0.924785E+06   0.924682E+06   0.282239E+00
   0.127039E+00   0.181286E+07   0.180578E+07   0.263100E+01  -0.378938E+01   0.000000E+00   0.181167E+07   0.181167E+07   0.181167E+07  -0.406981E-01   0.883818E+06   0.883722E+06   0.252132E+00
   0.132150E+00   0.172242E+07   0.171546E+07   0.231000E+01  -0.332711E+01   0.000000E+00   0.172125E+07   0.172125E+07   0.172125E+07  -0.386668E-01   0.839705E+06   0.839610E+06   0.238254E+00
   0.137262E+00   0.162793E+07   0.162062E+07   0.202348E+01  -0.291455E+01   0.000000E+00   0.162670E+07   0.162670E+07   0.162670E+07  -0.365429E-01   0.793584E+06   0.793488E+06   0.234135E+00
   0.142374E+00   0.153365E+07   0.152579E+07   0.177159E+01  -0.255188E+01   0.000000E+00   0.153233E+07   0.153233E+07   0.153233E+07  -0.344229E-01   0.747546E+06   0.747446E+06   0.233033E+00
   0.147486E+00   0.144460E+07   0.143626E+07   0.155482E+01  -0.223975E+01   0.000000E+00   0.144320E+07   0.144320E+07   0.144320E+07  -0.324206E-01   0.704065E+06   0.703963E+06   0.229583E+00
   0.152598E+00   0.136568E+07   0.135715E+07   0.137290E+01  -0.197776E+01   0.000000E+00   0.136425E+07   0.136425E+07   0.136425E+07  -0.306470E-01   0.665547E+06   0.665446E+06   0.220770E+00
   0.157710E+00   0.129988E+07   0.129153E+07   0.122337E+01  -0.176236E+01   0.000000E+00   0.129848E+07   0.129848E+07   0.129848E+07  -0.291695E-01   0.633461E+06   0.633364E+06   0.206054E+00
   0.162822E+00   0.124693E+07   0.123910E+07   0.110105E+01  -0.158612E+01   0.000000E+00   0.124562E+07   0.124562E+07   0.124562E+07  -0.279820E-01   0.607673E+06   0.607582E+06   0.186849E+00
   0.167934E+00   0.120400E+07   0.119693E+07   0.999498E+00  -0.143978E+01   0.000000E+00   0.120281E+07   0.120281E+07   0.120281E+07  -0.270204E-01   0.586791E+06   0.586707E+06   0.165711E+00
   0.173046E+00   0.116744E+07   0.116120E+07   0.912846E+00  -0.131490E+01   0.000000E+00   0.116639E+07   0.116639E+07   0.116639E+07  -0.262023E-01   0.569022E+06   0.568946E+06   0.145458E+00
   0.178158E+00   0.113369E+07   0.112819E+07   0.836411E+00  -0.120475E+01   0.000000E+00   0.113276E+07   0.113276E+07   0.113276E+07  -0.254469E-01   0.552617E+06   0.552548E+06   0.128381E+00
   0.183269E+00   0.109950E+07   0.109455E+07   0.766629E+00  -0.110421E+01   0.000000E+00   0.109867E+07   0.109867E+07   0.109867E+07  -0.246810E-01   0.535985E+06   0.535921E+06   0.115724E+00
   0.188381E+00   0.106270E+07   0.105804E+07   0.701318E+00  -0.101013E+01   0.000000E+00   0.106192E+07   0.106192E+07   0.106192E+07  -0.238554E-01   0.518055E+06   0.517994E+06   0.107578E+00
   0.193493E+00   0.102294E+07   0.101834E+07   0.639861E+00  -0.921627E+00   0.000000E+00   0.102217E+07   0.102217E+07   0.102217E+07  -0.229624E-01   0.498662E+06   0.498602E+06   0.103099E+00
   0.198605E+00   0.981506E+06   0.976812E+06   0.582706E+00  -0.839325E+00   0.000000E+00   0.980718E+06   0.980718E+06   0.980718E+06  -0.220312E-01   0.478441E+06   0.478381E+06   0.100889E+00
   0.203717E+00   0.940299E+06   0.935442E+06   0.530529E+00  -0.764196E+00   0.000000E+00   0.939483E+06   0.939483E+06   0.939483E+06  -0.211049E-01   0.458325E+06   0.458265E+06   0.994215E-01
   0.208829E+00   0.901157E+06   0.896167E+06   0.483816E+00  -0.696929E+00   0.000000E+00   0.900319E+06   0.900319E+06   0.900319E+06  -0.202251E-01   0.439220E+06   0.439159E+06   0.974201E-01
   0.213941E+00   0.865630E+06   0.860608E+06   0.442772E+00  -0.637818E+00   0.000000E+00   0.864787E+06   0.864787E+06   0.864787E+06  -0.194269E-01   0.421886E+06   0.421825E+06   0.941188E-01
   0.219053E+00   0.834682E+06   0.829758E+06   0.407240E+00  -0.586637E+00   0.000000E+00   0.833855E+06   0.833855E+06   0.833855E+06  -0.187321E-01   0.406796E+06   0.406737E+06   0.893373E-01
   0.224165E+00   0.808358E+06   0.803654E+06   0.376621E+00  -0.542525E+00   0.000000E+00   0.807568E+06   0.807568E+06   0.807568E+06  -0.181415E-01   0.393971E+06   0.393915E+06   0.833892E-01
   0.229277E+00   0.785828E+06   0.781428E+06   0.349999E+00  -0.504165E+00   0.000000E+00   0.785089E+06   0.785089E+06   0.785089E+06  -0.176366E-01   0.383005E+06   0.382952E+06   0.768925E-01
   0.234388E+00   0.765794E+06   0.761726E+06   0.326383E+00  -0.470135E+00   0.000000E+00   0.765111E+06   0.765111E+06   0.765111E+06  -0.171878E-01   0.373258E+06   0.373209E+06   0.705539E-01
   0.239500E+00   0.746885E+06   0.743120E+06   0.304899E+00  -0.439179E+00   0.000000E+00   0.746252E+06   0.746252E+06   0.746252E+06  -0.167641E-01   0.364058E+06   0.364011E+06   0.649739E-01
   0.244612E+00   0.727923E+06   0.724395E+06   0.284880E+00  -0.410339E+00   0.000000E+00   0.727331E+06   0.727331E+06   0.727331E+06  -0.163391E-01   0.354827E+06   0.354782E+06   0.605131E-01
   0.249724E+00   0.708181E+06   0.704801E+06   0.265927E+00  -0.383038E+00   0.000000E+00   0.707613E+06   0.707613E+06   0.707613E+06  -0.158961E-01   0.345208E+06   0.345165E+06   0.572463E-01
   0.254836E+00   0.687530E+06   0.684217E+06   0.247916E+00  -0.357096E+00   0.000000E+00   0.686974E+06   0.686974E+06   0.686974E+06  -0.154325E-01   0.335139E+06   0.335097E+06   0.549983E-01
