#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.967677E-05   0.182269E+08   0.182269E+08   0.242877E+08   0.242872E+08   0.000000E+00   0.182269E+08   0.182269E+08   0.182344E+08  -0.419026E+00   0.938125E+07   0.938125E+07   0.655601E+01
   0.106882E-04   0.182270E+08   0.182270E+08   0.242845E+08   0.242840E+08   0.000000E+00   0.182270E+08   0.182270E+08   0.182345E+08  -0.419034E+00   0.938131E+07   0.938131E+07   0.724102E+01
   0.118053E-04   0.182271E+08   0.182271E+08   0.242807E+08   0.242800E+08   0.000000E+00   0.182271E+08   0.182271E+08   0.182346E+08  -0.419043E+00   0.938139E+07   0.938139E+07   0.799754E+01
   0.130392E-04   0.182272E+08   0.182272E+08   0.242760E+08   0.242752E+08   0.000000E+00   0.182272E+08   0.182272E+08   0.182347E+08  -0.419054E+00   0.938148E+07   0.938148E+07   0.883303E+01
   0.144020E-04   0.182273E+08   0.182273E+08   0.242703E+08   0.242693E+08   0.000000E+00   0.182273E+08   0.182273E+08   0.182348E+08  -0.419068E+00   0.938159E+07   0.938159E+07   0.975570E+01
   0.159073E-04   0.182275E+08   0.182275E+08   0.242633E+08   0.242621E+08   0.000000E+00   0.182275E+08   0.182275E+08   0.182350E+08  -0.419085E+00   0.938172E+07   0.938172E+07   0.107746E+02
   0.175699E-04   0.182278E+08   0.182278E+08   0.242548E+08   0.242534E+08   0.000000E+00   0.182278E+08   0.182278E+08   0.182352E+08  -0.419106E+00   0.938189E+07   0.938189E+07   0.118998E+02
   0.194063E-04   0.182280E+08   0.182280E+08   0.242444E+08   0.242427E+08   0.000000E+00   0.182280E+08   0.182280E+08   0.182355E+08  -0.419131E+00   0.938209E+07   0.938209E+07   0.131422E+02
   0.214346E-04   0.182284E+08   0.182284E+08   0.242318E+08   0.242296E+08   0.000000E+00   0.182284E+08   0.182284E+08   0.182358E+08  -0.419162E+00   0.938233E+07   0.938233E+07   0.145140E+02
   0.236749E-04   0.182288E+08   0.182288E+08   0.242163E+08   0.242137E+08   0.000000E+00   0.182288E+08   0.182288E+08   0.182363E+08  -0.419199E+00   0.938263E+07   0.938263E+07   0.160286E+02
   0.261494E-04   0.182293E+08   0.182293E+08   0.241975E+08   0.241943E+08   0.000000E+00   0.182293E+08   0.182293E+08   0.182367E+08  -0.419245E+00   0.938300E+07   0.938299E+07   0.177006E+02
   0.288824E-04   0.182299E+08   0.182299E+08   0.241746E+08   0.241707E+08   0.000000E+00   0.182299E+08   0.182299E+08   0.182373E+08  -0.419301E+00   0.938344E+07   0.938344E+07   0.195463E+02
   0.319012E-04   0.182306E+08   0.182306E+08   0.241466E+08   0.241419E+08   0.000000E+00   0.182306E+08   0.182306E+08   0.182381E+08  -0.419369E+00   0.938398E+07   0.938398E+07   0.215834E+02
