#    L    TT             EE             TE             PP             TP          
    75    0.19343E+04    0.37442E+00   -0.79638E+01    0.51048E+07    0.90061E+04
    76    0.19595E+04    0.38778E+00   -0.84535E+01    0.50748E+07    0.88743E+04
    77    0.19850E+04    0.40130E+00   -0.89536E+01    0.50447E+07    0.87451E+04
    78    0.20108E+04    0.41502E+00   -0.94656E+01    0.50145E+07    0.86179E+04
    79    0.20369E+04    0.42887E+00   -0.99856E+01    0.49843E+07    0.84920E+04
    80    0.20632E+04    0.44286E+00   -0.10515E+02    0.49541E+07    0.83667E+04
    81    0.20896E+04    0.45693E+00   -0.11055E+02    0.49239E+07    0.82417E+04
    82    0.21164E+04    0.47112E+00   -0.11603E+02    0.48938E+07    0.81174E+04
    83    0.21433E+04    0.48540E+00   -0.12160E+02    0.48636E+07    0.79945E+04
    84    0.21705E+04    0.49976E+00   -0.12723E+02    0.48336E+07    0.78739E+04
    85    0.21978E+04    0.51418E+00   -0.13294E+02    0.48036E+07    0.77561E+04
    86    0.22253E+04    0.52866E+00   -0.13871E+02    0.47736E+07    0.76419E+04
    87    0.22532E+04    0.54319E+00   -0.14454E+02    0.47438E+07    0.75311E+04
    88    0.22811E+04    0.55777E+00   -0.15043E+02    0.47140E+07    0.74236E+04
    89    0.23094E+04    0.57239E+00   -0.15639E+02    0.46844E+07    0.73191E+04
    90    0.23378E+04    0.58702E+00   -0.16240E+02    0.46548E+07    0.72173E+04
    91    0.23664E+04    0.60164E+00   -0.16847E+02    0.46254E+07    0.71182E+04
    92    0.23953E+04    0.61625E+00   -0.17458E+02    0.45961E+07    0.70215E+04
    93    0.24245E+04    0.63083E+00   -0.18073E+02    0.45669E+07    0.69273E+04
    94    0.24537E+04    0.64535E+00   -0.18692E+02    0.45379E+07    0.68354E+04
    95    0.24832E+04    0.65981E+00   -0.19315E+02    0.45090E+07    0.67457E+04
    96    0.25127E+04    0.67419E+00   -0.19942E+02    0.44802E+07    0.66581E+04
    97    0.25426E+04    0.68849E+00   -0.20571E+02    0.44515E+07    0.65727E+04
    98    0.25728E+04    0.70269E+00   -0.21201E+02    0.44230E+07    0.64892E+04
    99    0.26030E+04    0.71676E+00   -0.21834E+02    0.43946E+07    0.64076E+04
   100    0.26335E+04    0.73071E+00   -0.22466E+02    0.43664E+07    0.63278E+04
   101    0.26642E+04    0.74458E+00   -0.23100E+02    0.43383E+07    0.62497E+04
   102    0.26953E+04    0.75823E+00   -0.23734E+02    0.43104E+07    0.61733E+04
   103    0.27264E+04    0.77174E+00   -0.24369E+02    0.42826E+07    0.60985E+04
   104    0.27577E+04    0.78511E+00   -0.25002E+02    0.42550E+07    0.60251E+04
   105    0.27892E+04    0.79827E+00   -0.25634E+02    0.42276E+07    0.59531E+04
   106    0.28208E+04    0.81128E+00   -0.26264E+02    0.42003E+07    0.58824E+04
   107    0.28524E+04    0.82401E+00   -0.26891E+02    0.41732E+07    0.58129E+04
   108    0.28844E+04    0.83652E+00   -0.27517E+02    0.41462E+07    0.57445E+04
   109    0.29165E+04    0.84874E+00   -0.28139E+02    0.41194E+07    0.56772E+04
   110    0.29487E+04    0.86068E+00   -0.28756E+02    0.40929E+07    0.56109E+04
   111    0.29810E+04    0.87241E+00   -0.29369E+02    0.40664E+07    0.55454E+04
   112    0.30135E+04    0.88386E+00   -0.29978E+02    0.40402E+07    0.54809E+04
   113    0.30462E+04    0.89502E+00   -0.30581E+02    0.40142E+07    0.54172E+04
   114    0.30789E+04    0.90582E+00   -0.31178E+02    0.39883E+07    0.53544E+04
   115    0.31119E+04    0.91642E+00   -0.31769E+02    0.39626E+07    0.52925E+04
   116    0.31449E+04    0.92658E+00   -0.32352E+02    0.39371E+07    0.52314E+04
   117    0.31782E+04    0.93638E+00   -0.32927E+02    0.39118E+07    0.51713E+04
   118    0.32116E+04    0.94598E+00   -0.33494E+02    0.38867E+07    0.51121E+04
   119    0.32450E+04    0.95521E+00   -0.34052E+02    0.38617E+07    0.50538E+04
   120    0.32786E+04    0.96395E+00   -0.34601E+02    0.38370E+07    0.49963E+04
   121    0.33121E+04    0.97247E+00   -0.35140E+02    0.38124E+07    0.49398E+04
   122    0.33457E+04    0.98049E+00   -0.35668E+02    0.37880E+07    0.48842E+04
   123    0.33794E+04    0.98808E+00   -0.36186E+02    0.37638E+07    0.48295E+04
   124    0.34131E+04    0.99532E+00   -0.36691E+02    0.37398E+07    0.47757E+04
   125    0.34468E+04    0.10021E+01   -0.37185E+02    0.37159E+07    0.47228E+04
   126    0.34805E+04    0.10086E+01   -0.37666E+02    0.36923E+07    0.46709E+04
   127    0.35142E+04    0.10145E+01   -0.38135E+02    0.36688E+07    0.46199E+04
   128    0.35480E+04    0.10201E+01   -0.38591E+02    0.36455E+07    0.45698E+04
   129    0.35817E+04    0.10252E+01   -0.39032E+02    0.36224E+07    0.45206E+04
   130    0.36155E+04    0.10298E+01   -0.39458E+02    0.35995E+07    0.44723E+04
   131    0.36492E+04    0.10340E+01   -0.39871E+02    0.35767E+07    0.44250E+04
   132    0.36829E+04    0.10378E+01   -0.40267E+02    0.35542E+07    0.43786E+04
   133    0.37166E+04    0.10411E+01   -0.40649E+02    0.35318E+07    0.43331E+04
   134    0.37503E+04    0.10440E+01   -0.41013E+02    0.35096E+07    0.42884E+04
   135    0.37839E+04    0.10463E+01   -0.41361E+02    0.34876E+07    0.42446E+04
   136    0.38173E+04    0.10482E+01   -0.41689E+02    0.34658E+07    0.42015E+04
   137    0.38508E+04    0.10497E+01   -0.42001E+02    0.34441E+07    0.41591E+04
   138    0.38842E+04    0.10506E+01   -0.42294E+02    0.34226E+07    0.41175E+04
   139    0.39173E+04    0.10512E+01   -0.42568E+02    0.34013E+07    0.40767E+04
   140    0.39505E+04    0.10512E+01   -0.42824E+02    0.33802E+07    0.40364E+04
   141    0.39834E+04    0.10508E+01   -0.43059E+02    0.33593E+07    0.39968E+04
   142    0.40164E+04    0.10499E+01   -0.43274E+02    0.33385E+07    0.39578E+04
   143    0.40493E+04    0.10485E+01   -0.43470E+02    0.33179E+07    0.39194E+04
   144    0.40819E+04    0.10467E+01   -0.43645E+02    0.32974E+07    0.38816E+04
   145    0.41144E+04    0.10445E+01   -0.43799E+02    0.32772E+07    0.38443E+04
   146    0.41470E+04    0.10418E+01   -0.43932E+02    0.32571E+07    0.38074E+04
   147    0.41792E+04    0.10387E+01   -0.44042E+02    0.32371E+07    0.37710E+04
   148    0.42113E+04    0.10351E+01   -0.44132E+02    0.32174E+07    0.37351E+04
   149    0.42433E+04    0.10311E+01   -0.44198E+02    0.31978E+07    0.36995E+04
   150    0.42750E+04    0.10267E+01   -0.44241E+02    0.31783E+07    0.36643E+04
   151    0.43066E+04    0.10219E+01   -0.44261E+02    0.31590E+07    0.36295E+04
   152    0.43378E+04    0.10166E+01   -0.44259E+02    0.31399E+07    0.35950E+04
   153    0.43690E+04    0.10109E+01   -0.44231E+02    0.31210E+07    0.35609E+04
   154    0.43999E+04    0.10049E+01   -0.44180E+02    0.31022E+07    0.35271E+04
   155    0.44306E+04    0.99860E+00   -0.44105E+02    0.30835E+07    0.34936E+04
   156    0.44610E+04    0.99189E+00   -0.44006E+02    0.30650E+07    0.34605E+04
   157    0.44912E+04    0.98483E+00   -0.43882E+02    0.30467E+07    0.34278E+04
   158    0.45212E+04    0.97750E+00   -0.43733E+02    0.30285E+07    0.33954E+04
   159    0.45509E+04    0.96973E+00   -0.43559E+02    0.30105E+07    0.33634E+04
   160    0.45804E+04    0.96169E+00   -0.43360E+02    0.29926E+07    0.33317E+04
   161    0.46096E+04    0.95343E+00   -0.43135E+02    0.29749E+07    0.33003E+04
   162    0.46386E+04    0.94482E+00   -0.42886E+02    0.29574E+07    0.32694E+04
   163    0.46674E+04    0.93593E+00   -0.42611E+02    0.29400E+07    0.32388E+04
   164    0.46958E+04    0.92683E+00   -0.42311E+02    0.29227E+07    0.32085E+04
   165    0.47240E+04    0.91745E+00   -0.41984E+02    0.29056E+07    0.31787E+04
   166    0.47519E+04    0.90793E+00   -0.41632E+02    0.28886E+07    0.31492E+04
   167    0.47796E+04    0.89805E+00   -0.41255E+02    0.28718E+07    0.31200E+04
   168    0.48069E+04    0.88819E+00   -0.40851E+02    0.28551E+07    0.30913E+04
   169    0.48338E+04    0.87804E+00   -0.40420E+02    0.28385E+07    0.30629E+04
   170    0.48605E+04    0.86782E+00   -0.39964E+02    0.28221E+07    0.30348E+04
   171    0.48867E+04    0.85754E+00   -0.39480E+02    0.28059E+07    0.30072E+04
   172    0.49125E+04    0.84712E+00   -0.38969E+02    0.27898E+07    0.29799E+04
   173    0.49379E+04    0.83657E+00   -0.38433E+02    0.27738E+07    0.29530E+04
   174    0.49629E+04    0.82617E+00   -0.37870E+02    0.27579E+07    0.29265E+04
   175    0.49876E+04    0.81563E+00   -0.37280E+02    0.27422E+07    0.29004E+04
   176    0.50118E+04    0.80517E+00   -0.36663E+02    0.27267E+07    0.28746E+04
   177    0.50356E+04    0.79471E+00   -0.36021E+02    0.27112E+07    0.28492E+04
   178    0.50589E+04    0.78449E+00   -0.35352E+02    0.26959E+07    0.28242E+04
   179    0.50818E+04    0.77419E+00   -0.34655E+02    0.26808E+07    0.27996E+04
   180    0.51044E+04    0.76405E+00   -0.33934E+02    0.26657E+07    0.27752E+04
   181    0.51265E+04    0.75406E+00   -0.33186E+02    0.26508E+07    0.27513E+04
   182    0.51481E+04    0.74429E+00   -0.32412E+02    0.26360E+07    0.27276E+04
   183    0.51692E+04    0.73467E+00   -0.31612E+02    0.26214E+07    0.27043E+04
   184    0.51900E+04    0.72527E+00   -0.30786E+02    0.26068E+07    0.26812E+04
   185    0.52102E+04    0.71623E+00   -0.29936E+02    0.25924E+07    0.26585E+04
   186    0.52297E+04    0.70743E+00   -0.29058E+02    0.25781E+07    0.26360E+04
   187    0.52490E+04    0.69899E+00   -0.28156E+02    0.25640E+07    0.26139E+04
   188    0.52678E+04    0.69090E+00   -0.27229E+02    0.25499E+07    0.25920E+04
   189    0.52860E+04    0.68320E+00   -0.26276E+02    0.25360E+07    0.25703E+04
   190    0.53041E+04    0.67594E+00   -0.25301E+02    0.25222E+07    0.25489E+04
   191    0.53213E+04    0.66913E+00   -0.24298E+02    0.25085E+07    0.25277E+04
   192    0.53381E+04    0.66281E+00   -0.23272E+02    0.24949E+07    0.25068E+04
   193    0.53543E+04    0.65700E+00   -0.22224E+02    0.24815E+07    0.24861E+04
   194    0.53702E+04    0.65175E+00   -0.21150E+02    0.24681E+07    0.24656E+04
   195    0.53855E+04    0.64709E+00   -0.20054E+02    0.24549E+07    0.24453E+04
   196    0.54001E+04    0.64305E+00   -0.18934E+02    0.24418E+07    0.24252E+04
   197    0.54144E+04    0.63968E+00   -0.17793E+02    0.24287E+07    0.24052E+04
   198    0.54281E+04    0.63700E+00   -0.16629E+02    0.24158E+07    0.23855E+04
   199    0.54414E+04    0.63504E+00   -0.15443E+02    0.24030E+07    0.23659E+04
   200    0.54541E+04    0.63384E+00   -0.14236E+02    0.23903E+07    0.23464E+04
   201    0.54662E+04    0.63344E+00   -0.13007E+02    0.23777E+07    0.23271E+04
   202    0.54778E+04    0.63387E+00   -0.11758E+02    0.23652E+07    0.23079E+04
   203    0.54889E+04    0.63517E+00   -0.10487E+02    0.23528E+07    0.22889E+04
   204    0.54993E+04    0.63737E+00   -0.91982E+01    0.23405E+07    0.22700E+04
   205    0.55092E+04    0.64051E+00   -0.78890E+01    0.23283E+07    0.22513E+04
   206    0.55184E+04    0.64463E+00   -0.65606E+01    0.23162E+07    0.22327E+04
   207    0.55271E+04    0.64975E+00   -0.52134E+01    0.23042E+07    0.22142E+04
   208    0.55351E+04    0.65592E+00   -0.38479E+01    0.22923E+07    0.21959E+04
   209    0.55425E+04    0.66316E+00   -0.24645E+01    0.22805E+07    0.21777E+04
   210    0.55493E+04    0.67152E+00   -0.10640E+01    0.22688E+07    0.21597E+04
   211    0.55555E+04    0.68104E+00    0.35350E+00    0.22572E+07    0.21417E+04
   212    0.55610E+04    0.69173E+00    0.17871E+01    0.22457E+07    0.21239E+04
   213    0.55659E+04    0.70366E+00    0.32368E+01    0.22342E+07    0.21063E+04
   214    0.55703E+04    0.71679E+00    0.47015E+01    0.22229E+07    0.20888E+04
   215    0.55740E+04    0.73134E+00    0.61804E+01    0.22116E+07    0.20714E+04
   216    0.55770E+04    0.74711E+00    0.76741E+01    0.22005E+07    0.20541E+04
   217    0.55796E+04    0.76425E+00    0.91805E+01    0.21894E+07    0.20370E+04
   218    0.55815E+04    0.78278E+00    0.10700E+02    0.21784E+07    0.20200E+04
   219    0.55828E+04    0.80267E+00    0.12233E+02    0.21675E+07    0.20031E+04
   220    0.55835E+04    0.82409E+00    0.13776E+02    0.21567E+07    0.19864E+04
   221    0.55836E+04    0.84696E+00    0.15331E+02    0.21460E+07    0.19698E+04
   222    0.55832E+04    0.87143E+00    0.16896E+02    0.21354E+07    0.19533E+04
